Name,Description,founded year,total funding amount (in usd),number of funding rounds,last funding date,last funding amount (in usd),city,region,country,investor names,founder names,number of employees,sector,website,linkedin url,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
NovaSignal,"NovaSignal is a medical technology company commercializing a robotic cerebral ultrasound system. Robotic System combines non-invasive ultrasound, robotics, and artificial intelligence to assess real-time cerebral blood flow.",2013,127861191.0,15,2021-09-28,37000000.0,Los Angeles,California,United States,National Science Foundation|MassChallenge|National Institutes of Health|Alpha Edison|Tech Coast Angels,Dan J. Hanchey|Leo Petrossian|Robert B. Hamilton,75,"""Robotic Ultrasound Systems for Cerebral Blood Flow Monitoring""",http://novasignal.com/,http://www.linkedin.com/company/neural-analytics,0.015,12.5,3.5,10,unknown,0.85,4.0,3.5,0.05,3.8
Lantern Pharma,"Lantern Pharma, Inc. is a clinical stage pharmaceutical company developing new classes of precision cancer drugs with novel mechanisms of action. Lantern also rescues and revitalizes abandoned or failed cancer drugs using machine learning techniques, genomic data and precision oncology trials. Lantern Pharma recognizes that the high cost and low success rates in oncology drug development largely stem from the inability to appropriately stratify patient populations prior to enrollment, and also from the inability to fully elucidate mechanisms of action that can suggest potent therapy combinations. Our approach, which  leverages our RADR™ platform helps to provide rapid, meaningful insight to both of these central problems in oncology. Lantern is focused on accelerating personalized cancer therapy development through the use of AI and genomic-based patient stratification.",2013,94980000.0,7,2021-01-14,60000000.0,Dallas,Texas,United States,Bios Partners|Health Wildcatters|Green Park & Golf Ventures,Arun Asaithambi|Panna Sharma|Peter Nara,30,"""AI-Driven Precision Oncology Drug Development""",http://www.lanternpharma.com/,https://www.linkedin.com/company/6448846/,0.15,30.0,2.5,10,unknown,0.85,2.8,2.0,0.15,2.5
Holler,"Holler is a Conversational Media company, focused on the creation and delivery of content that helps peer-to-peer messages be more engaging and effective. Powered by the company’s Suggestion AI Technology, relevant content is provided to users at just the right moment in time. With a diverse team of technologists, digital animators, and media industry veterans, Holler services upwards of 1 billion messages each day. For more information on Holler, please visit holler.io.",2013,51350000.0,9,2021-04-01,36000000.0,New York,New York,United States,Gaingels|Alumni Ventures|Relevance Ventures (formerly Relevance Capital)|Hatzimemos / Libby|CityRock Venture Partners,John Harrobin|Mike Ojemann|Travis Montaque,75,"""Conversational Media and AI-Driven Content Solutions""",https://holler.io/,https://www.linkedin.com/company/hollertech/,0.3,20.0,3.5,15,growth,0.85,3.8,3.2,0.15,3.7
Reonomy,"Reonomy leverages big data, partnerships, and machine learning to connect the fragmented world of commercial real estate. Reonomy products empower individuals, teams, and companies to unlock insights and discover new opportunities by providing unparalleled access to property intelligence.",2013,128350000.0,8,2020-10-01,,New York,New York,United States,Primary Venture Partners|Sapphire Ventures|Bain Capital|Bain Capital Ventures|Georgian,Charlie Oshman|Guillermo Sanchez|Harlan Milkove|Richard Sarkis,75,"""Commercial Real Estate Data Analytics Solutions""",http://www.reonomy.com/,http://www.linkedin.com/company/reonomy,1.2,15.0,3.8,20,unknown,0.85,4.0,3.5,0.5,3.5
Preemadonna,"Preemadonna builds AI powered nail and body art experiences. Our flagship AI product, the Nailbot, prints art and photos on nails in five seconds. Along with the hardware comes an art platform and a community of creators - particularly Gen Z & Gen A young women. Future products make nail polish and print body art & makeup. Our interconnected machines and platforms leverage cutting-edge technologies, including computer vision, machine learning, augmented reality, proprietary formulations & sustainable consumables.",2013,7575833.0,8,2024-12-01,340000.0,Carlsbad,California,United States,Draper Associates|Shrug Capital|SOSV|Halogen Ventures|Version One Ventures,Casey Schulz|Pree Walia,5,"""AI-Driven Beauty Tech and Personalization Solutions""",http://www.preemadonna.com/,https://www.linkedin.com/company/preemadonna,3.5,15.0,3.5,50,unknown,0.85,3.8,3.5,0.5,3.0
Telesis Bio,"Telesis Bio is a biotech company that empowers researchers with the tools to secure design, code, and create synthetic DNA and mRNA. Telesis Bio was founded in 2013 and was headquartered in San Diego, USA.",2013,74200000.0,1,2023-05-31,74200000.0,San Diego,California,United States,Northpond Ventures|Novalis LifeSciences|BroadOak Capital Partners|M-185 Corporation,Todd Nelson,30,"""Synthetic Biology Tools for DNA and mRNA Design""",http://telesisbio.com/,https://www.linkedin.com/company/telesis-bio,2.7,34.4,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
App Orchid,"The App Orchid platform helps enterprises build AI-fueled apps for the Energy, Utilities, Insurance, and Healthcare industries. The App Orchid platform uses deep learning and natural language processing with industry-specific content delivered through knowledge graphs, to create predictive apps.  It was founded in 2013 and headquartered in San Ramon, California.",2013,59400000.0,5,2024-05-28,43000000.0,San Ramon,California,United States,Moneta Ventures|Espresso Capital,Krishna Kumar,175,"""AI-Driven Enterprise Applications for Industry Solutions""",http://www.apporchid.com/,https://www.linkedin.com/company/app-orchid-inc,1.0,53.6,3.5,25,growth,0.85,3.8,3.5,0.2,3.8
OrphAI Therapeutics,"AI Therapeutics was founded in 2013 with a mission to advance the clinical development of new therapies to treat Lymphangioleiomyomatosis (LAM) and other diseases. Working with a dedicated team of scientific, clinical, and drug development experts, AI Therapeutics expects to use its disease-specific focus and technological approach to identify and advance drugs that will provide significant therapeutic benefits for LAM patients. AI Therapeutics develops drugs for rare diseases and cancer. LAM takes advantage of the inflection point in biological understanding and computer science, leveraging big data from NextGen sequencing, genome editing, chemical genomics, and combinational drug screening, to develop precision therapeutics and companion diagnostics. LAM has advanced two drugs into the clinic: LAM-001 for lymphangioleiomyomatosis, and LAM-002 for B-cell non-Hodgkin lymphoma.",2013,98000000.0,3,2017-03-30,58000000.0,Guilford,Connecticut,United States,BioVenture|4Catalyzer,Jonathan Rothberg|Tian Xu,5,"""AI-Driven Therapeutics for Rare Diseases and Cancer""",https://www.ai-therapeutics.com/,https://www.linkedin.com/company/aitherapeutics/,0.15,25.0,2.5,10,unknown,0.85,3.0,2.5,0.3,2.8
QMENTA,"QMENTA is a software platform for imaging-based clinical studies. Their solutions include data management systems, clinical trials, neuroimaging disease packages, neuro research, clinical care, and neuro-data services. Their cloud-based software solutions enable and build medical imaging management.",2013,10008899.0,12,2020-12-23,243876.0,Boston,Massachusetts,United States,Flashpoint|ICF Capital|Keystone Capital|Capital Cell|EASME,Landon McKenna|Paulo Rodrigues|Vesna Prčkovska,30,"""Cloud-Based Neuroimaging Data Management Solutions""",http://www.qmenta.com/,http://www.linkedin.com/company/qmenta-inc,0.2,20.0,3.5,15,growth,0.85,3.8,3.2,0.3,3.7
HouseCanary,"HouseCanary is a technology company revolutionizing the residential real estate investment and lending ecosystems with professional-grade home valuation products. It's over four years of real estate data that drives the analytics and value forecasts in the industry, generating instant, actionable insights. Insights are delivered via app or API. The company's technology utilizes Python, AWS, Redshift, PostgreSQL, R, Pandas, NumPy, PostGIS, Django, Flask, AngularJS, React, Swift, Ansible, Terraform, DynamoDB, S3, Aurora, Node, Express, Tile38, Lua, Go, CloudSearch, C, Redis, Prometheus, Grafana, ELK, FreeIPA, Memcached, Fluentd, SQS, SNS, CFEngine, SQLAlchemy, Alembic, and Swift. HouseCanary was founded in 2013 and is headquartered in San Francisco, California.",2013,129000000.0,6,2020-02-06,65000000.0,San Francisco,California,United States,QED Investors|Alpaca VC|Second Century Ventures|Bryant Stibel Investments|Structural Capital,Chris Stroud|Jeremy Sicklick,75,"""Real Estate Predictive Analytics and Valuation Technology""",http://www.housecanary.com/,http://www.linkedin.com/company/housecanary-inc,1.2,15.0,3.5,15,unknown,0.85,3.8,3.2,0.3,3.7
HelixNano,"Helix Nanotechnologies uses artificial intelligence to help cure genetic diseases. HelixNano is a Y Combinator and venture backed biotech startup. At HelixNano, we have spent the last two years developing cancer vaccines. Now we are adapting our synthetic biology arsenal to take on COVID-19. We’re moving fast but thinking long-term. We’re already testing COVID-19 vaccine candidates designed to be precise and safe. Our next goal is to create a vaccine that protects everyone not only from this virus, but all future coronaviruses.",2013,59742000.0,25,2024-04-04,,Cambridge,Massachusetts,United States,Alumni Ventures|Y Combinator|Lifeline Ventures|Starlight Ventures|DCVC,Hannu Rajaniemi|Nikolai Eroshenko,5,"""AI-Driven Genetic Disease Treatment and Vaccine Development""",http://helixnano.com/,https://www.linkedin.com/company/4992142,0.5,20.0,2.5,10,unknown,0.85,3.0,2.5,0.3,2.8
Skycatch,"Skycatch builds technology to autonomously capture, process, and analyze 3D drone data to provide companies with an accurate visualization of the physical world. It is the leading industrial data collection and analytics company, focused on indexing and extracting critical information from the physical world. They use a combination of hardware, software, and artificial intelligence to deliver high precision data at unprecedented speed and ease of use. It was incorporated in 2013 and is based in San Francisco, California.",2013,71603135.0,7,2021-03-21,25000000.0,San Francisco,California,United States,Gaingels|Amino Capital|Autodesk|Third Sphere|Industry Ventures,Christian Sanz|Christopher Bumgardner|Mark Heynen,75,"""Autonomous Drone Data Collection and Analytics Solutions""",https://www.skycatch.com/,http://www.linkedin.com/company/skycatch,0.3,20.0,2.5,15,unknown,0.85,3.0,2.5,0.15,2.8
IUNU,"IUNU is an industrial computer vision company that connects plants, facilities, and people through a single interface. Luna turns commercial greenhouses into precise, predictable, demand-based manufacturers. Luna is an AI born in the heart of Seattle; trained in Silicon Valley and the greenhouses of Skagit Valley; accessible from everywhere. Founded in 2013, iUNU is an industrial computer vision company headquartered in Seattle, with offices in San Francisco and San Diego.",2013,65706954.0,8,2025-04-15,20000000.0,Seattle,Washington,United States,S2G Investments|Village Capital|Initialized Capital|Liquid 2 Ventures|Fuel Capital,Adam Greenberg,75,"""AI-Driven Agricultural Computer Vision Solutions""",https://iunu.com/,https://in.linkedin.com/company/iunu,0.05,15.0,2.5,10,unknown,0.85,2.8,2.5,0.1,2.7
Bellabeat,"Bellabeat, top 5 Y-COMBINATOR  company in the W14  class,  is a data-centered wellness femtech company behind some of the most fashionably designed tech-powered wellness products and one of the fastest-growing wellness subscription services for women. Throughout the years, Bellabeat built the go-to wellness brand with a compelling ecosystem of solutions and services focused on women’s health. The success of the Leaf and Ivy wearables enabled the brand to expand to international markets and kickstart industry discussions on the importance of innovating in the design and development of tech products. Today, Bellabeat is leading the market shift with hyper-personalized holistic wellness offerings aligned with a women’s menstrual cycle.",2013,18824976.0,7,2021-12-14,,San Francisco,California,United States,Y Combinator|SV Angel|Promus Ventures|Universal Music Group|Pegasus Tech Ventures,Morena Šimatić|Sandro Mur|Urska Srsen,75,"""Women’s Health-Focused Wellness Technology and Wearables""",http://www.bellabeat.com/,https://www.linkedin.com/company/bellabeatinc/,0.5,15.0,3.5,20,unknown,0.85,3.8,3.2,0.3,3.5
TAC Security,"TAC Security is a vulnerability management that protects Fortune 500 companies, leading enterprises, and governments.",2013,1500000.0,3,2020-04-03,1000000.0,San Francisco,California,United States,Subinder Khurana|Vijay Kedia,Trishneet Arora,175,"""AI-Driven Cybersecurity Vulnerability Management Solutions""",https://tacsecurity.com/,https://www.linkedin.com/company/tac-security-solutions,0.3,20.0,2.5,15,unknown,0.85,3.0,2.5,0.15,2.8
Berkshire Grey,"Berkshire Grey develops a materials handling system intended to automate omnichannel fulfillment. Its system utilizes artificial intelligence, computer vision, machine learning, and novel sensing to deploy intelligent robotic systems that automate tasks never before performed by machines in commercial settings, enabling customers to achieve higher accuracy and throughput speeds than traditional approaches as well as handle the broadest assortment of products, packaging, and parcels with ease.",2013,428000000.0,4,2021-07-22,165000000.0,Bedford,Massachusetts,United States,BlackRock|Khosla Ventures|New Enterprise Associates|SoftBank Vision Fund|Canaan Partners,Mohd Fairuz Razi bin Sharuddin|Tom Wagner,375,"""AI-Driven Robotics for Omnichannel Fulfillment Automation""",https://www.berkshiregrey.com/,https://www.linkedin.com/company/berkshire-grey,1.5,12.0,3.5,20,unknown,0.85,3.8,4.2,0.5,3.7
Synack,"Synack is a crowdsourced security platform that protects organizations with unparalleled ethical hacker talent and proprietary scanning technology. Their solutions are application security, bug bounty, cloud security, industries, m and a and due diligence, penetration testing, public sector, vulnerability management, and bridging the talent gap.",2013,107568000.0,7,2020-10-13,,Redwood City,California,United States,Techstars|B Capital|Kleiner Perkins|Hewlett Packard Enterprise|Greylock,Jay Kaplan|Mark Kuhr,175,"""Crowdsourced Cybersecurity Solutions and Ethical Hacking Services""",http://www.synack.com/,https://www.linkedin.com/company/synack-red-team,0.15,12.0,3.5,15,unknown,0.85,3.8,3.2,0.3,3.7
Invent Analytics,"Invent is a provide of advanced analytics solutions for retailers and FMCG companies. Invent's products and services enable companies to achieve maximum profitability with data-driven inventory and pricing decisions. Retailers using Invent’s proprietary solutions have seen 2-6% increase in profitability and an unmatched ROI, proven for each case with live large-scale A/B testing. Their SaaS solutions offer agility and scalability, requiring zero capital investment due to the pay-as-you-go subscription model.",2013,24500000.0,2,2024-04-29,17000000.0,Philadelphia,Pennsylvania,United States,Collective Spark|EBRD Venture Capital|LFX Venture Partners,Gurhan Kok,375,"""Retail Analytics and Pricing Optimization Solutions""",https://www.inventanalytics.com/,https://www.linkedin.com/company/invent-analytics/,1.2,15.0,3.8,20,unknown,0.85,4.2,3.5,0.5,3.7
Fligoo,"Fligoo develops a personalized recommendation platform designed to facilitate the financial industry. Their platform provides an engine that offers users content featuring trending videos, news, images, articles, stories, blogs, activities, and gadgets based on their social media activities, enabling them to find information according to their tastes and preferences.",2013,10170000.0,9,2021-12-17,,San Francisco,California,United States,MassChallenge|NXTP Ventures|Tenity|Fuse Capital|DIFC FinTech Hive,Jose Gonzalez Ruzo|Juan Cruz Garzon|Lucas Olmedo|Marcos Martinez,175,"""Personalized Financial Content Recommendation Engine""",https://fligoo.com/,https://www.linkedin.com/company/fligoo,0.3,33.7,3.8,25,growth,0.85,4.2,3.7,0.15,3.5
Iterable,"Iterable is the AI-powered communication platform that organizations trust to build deeper customer relationships through personalized, real-time engagement. With Iterable, leading brands like Priceline, Fabletics, Blockchain, and Box deliver seamless cross-channel experiences by turning data into action and continuously optimizing for maximum impact. Because the future of marketing isn’t about sending more campaigns—it’s about creating moments that matter. Learn more at www.iterable.com.",2013,342200000.0,7,2021-06-15,200000000.0,San Francisco,California,United States,Index Ventures|645 Ventures|500 Global|Adams Street Partners|CRV,Andrew Boni|Justin Zhu,750,"""AI-Driven Cross-Channel Marketing Automation Platform""",https://www.iterable.com/,https://www.linkedin.com/company/iterable/about/,0.5,14.0,3.5,25,unknown,0.85,3.8,3.2,0.3,3.7
TrueAccord,"TrueAccord is reinventing the relationship between creditors and lenders with a machine learning-driven, digital approach to debt collection. Our technology personalizes outreach to each customer across digital channels, continuously optimizing for performance while delivering a customer experience that builds long-term brand loyalty.",2013,153047382.0,13,2022-06-06,49050631.0,Lenexa,Kansas,United States,BoxGroup|Khosla Ventures|Felicis|Caffeinated Capital|Bossa Invest,Nadav Samet|Nadav Sr. Samet|Ohad Samet,175,"""Machine Learning-Driven Debt Collection Solutions""",https://www.trueaccord.com/,https://www.linkedin.com/company/trueaccord,0.3,20.0,2.5,10,unknown,0.85,3.0,2.5,0.15,2.8
Stringr,"Stringr is the only company to combine video acquisition with a GenAI powered complete remote production SaaS solution – streamlining video workflows around the world. Stringr's award-winning cloud-based video platform serves over 1,000 global broadcast news and online media customers, supported by a proprietary network of 140,000+ videographers stationed across the United States and top international locations. Stringr also houses the largest video news archive with over 1.7 million videos available. All this, combined with daily live pool feeds, weather content and original stories, Stringr offers broadcasters more custom news video than any other solution.  Stringr was incorporated in 2013 and is based in New York, NY",2013,15450000.0,6,2024-03-14,5400000.0,New York,New York,United States,The Associated Press|Stormbreaker Ventures|Reuters|FOUNDER.org|Matter,Brian McNeill|Lindsay Stewart|Renato Martins,30,"""Cloud-Based Video Production and Distribution Solutions""",https://www.stringr.com/,http://www.linkedin.com/company/stringr,2.5,15.0,3.8,20,unknown,0.85,4.0,3.5,0.5,3.5
Edge Case Research,"Edge Case is the trusted risk-management partner for companies building self-driving trucks, autonomous robotaxis, and smarter passenger cars. We help developers and operators measure, manage, and insure the risks posed by software driving in the real world. Our mission is to deliver the promise of safe autonomous mobility. It was founded in 2013 and headquartered in Pittsburgh, Pennsylvania.",2013,19000000.0,2,2021-09-15,12000000.0,Pittsburgh,Pennsylvania,United States,Trucks Venture Capital|Lockheed Martin Ventures|Liberty Mutual Strategic Ventures|Monozukuri Ventures|Reinforced Ventures,Michael Wagner|Philip Koopman,75,"""Autonomous Vehicle Risk Management Solutions""",https://www.ecr.ai/,https://www.linkedin.com/company/edge-case-research,0.1,30.0,2.5,10,unknown,0.85,3.0,2.5,0.15,2.8
Sensely,"Sensely is a developer of avatar and chatbot-based platform designed to assist insurance plan members and patients. The company's platform leverages conversational interfaces and provides virtual assistant solutions to insurance companies, pharmaceutical clients, and hospital systems worldwide, enabling enterprises to converse with their members in an entirely new way, combining the empathy of human conversation with the efficiency and scalability of the technology.",2013,26778000.0,7,2019-10-28,15000000.0,San Francisco,California,United States,Alchemist Accelerator|Pegasus Tech Ventures|Mayo Clinic|Eastlink Capital|Silicon Valley Bank,Adam Odessky|Ivana Schnur,30,"""AI-Driven Virtual Health Assistant Solutions""",https://www.sensely.com/,http://www.linkedin.com/company/sense-ly,0.1,24.7,2.5,15,unknown,0.85,3.0,2.5,0.3,2.8
UnaliWear,"Focus groups have named our Kanega watch a wearable “OnStar for People” because we provide discreet support for falls, medication reminders, and a guard against wandering in a classically-styled watch that features an easy-to-use speech interface rather than buttons.  Thanks to our patented battery system in the band, you never have to take your watch off to charge - and we don’t require a smart phone (because it's built in).  We combine cellular, Wi-Fi, GPS, BLE (for hearing aids and telemedicine devices), an accelerometer for automatic fall detection, and continuous speech to provide an active medical alert that works anywhere, along with data-driven artificial intelligence that learns the wearer's lifestyle (think ""NEST for people"") to provide predictive, pre-emptive support.",2013,7175000.0,7,2017-06-08,75000.0,Austin,Texas,United States,Portfolia|True Wealth Ventures|Keiretsu Capital|StartUp Health|Next Wave Impact,Brian Kircher|Jean Anne Booth|Marc DeVinney,30,"""AI-Driven Wearable Health Monitoring Solutions""",http://www.unaliwear.com/,http://www.linkedin.com/company/unali-wear,1.2,15.0,2.8,15,unknown,0.85,3.0,2.5,0.3,2.5
Insurify,"Insurify is an internet company that features a software platform that specializes in car insurance. Their software platform utilizes artificial intelligence, language processing, and chatbots to provide personalized recommendations that help its users decide about their car insurance.",2013,129600000.0,4,2021-09-01,100000000.0,Cambridge,Massachusetts,United States,Motive Partners|MassMutual Ventures|MTech Capital|Viola Growth|Viola FinTech,Giorgos Zacharia|Snejina Zacharia|Tod Kiryazov,175,"""AI-Driven Car Insurance Comparison Platform""",http://insurify.com/,https://www.linkedin.com/company/insurify,940.79,5.0,3.5,15,unknown,0.85,4.2,3.8,0.5,3.5
R4 Technologies,"R4 Technologies specializes in applying AI to cross-enterprise management. It is intended to unlock growth opportunities trapped in and between enterprise silos, systems, and processes.",2013,40000000.0,2,2019-04-02,20000000.0,Ridgefield,Connecticut,United States,Pilot Growth Equity|Parkway Venture Capital,Paul Breitenbach,75,"""AI-Driven Cross-Enterprise Management Solutions""",http://www.r4.ai/,https://www.linkedin.com/company/r4-technologies/,1.2,25.0,3.5,15,growth,0.85,3.8,3.2,0.5,3.7
Grid4C,"The big difference between Smart Grid Descriptive Analytics and Grid4C's Smart Grid Predictive Analytics is that instead of analyzing the past, we provide forecasts and actionable insights with a predictive nature, enabling to control tomorrow's bottom line results.",2013,12500000.0,3,2020-01-20,6000000.0,Austin,Texas,United States,iAngels|Alectra|MoreVC|Axess Ventures,Ruschin Rimini,30,"""Predictive Analytics for Smart Grid Optimization""",http://grid4c.com/,https://www.linkedin.com/company/grid4c,3.8,12.5,4.2,25,unknown,0.85,4.5,4.0,0.5,4.0
CrateDB,"Store any type of data and combine the simplicity of SQL with the scalability of NoSQL. CrateDB is an open source, multi-model, distributed and containerized database that runs queries in milliseconds, regardless of data complexity, volume and velocity. Integrate with AI/ML frameworks for vector search.",2013,31894793.0,5,2020-10-01,14000000.0,Redwood City,California,United States,Speedinvest|Dawn Capital|Heartcore Capital|Momenta|Zetta Venture Partners,Bernd Dorn|Christian Lutz|Jodok Batlogg,75,"""Distributed Open Source Database for Big Data Analytics""",https://cratedb.com/,https://www.linkedin.com/company/crateio,1.2,25.0,3.5,15,growth,0.85,3.8,3.5,0.15,3.7
CognitiveScale,"CognitiveScale pioneered the concept of 'AI Engineering', paving the way to industrialize scalable Enterprise AI development and deployment. Backed by over 100 issued AI patents, the award-winning Cortex AI Platform empowers businesses to infuse trusted decision intelligence into business processes and applications maximizing total customer experience and operational efficiency. Our platform currently delivers hyper-personalized insights to more than 100 million customers. Headquartered in Austin, Texas, CognitiveScale is recognized by the World Economic Forum for positively impacting business and society through responsible AI. We are backed by investment from Norwest Venture Partners, Intel Capital, IBM, Westly Group, M12 (Microsoft Ventures), Anthem, and USAA.",2013,40000000.0,5,2020-07-31,,Austin,Texas,United States,Norwest Venture Partners|IBM|The Westly Group|Intel Capital|M12 - Microsoft's Venture Fund,Akshay Sabhikhi|Matt Sanchez,75,"""Enterprise AI Development and Deployment Solutions""",http://www.cognitivescale.com/,https://www.linkedin.com/company/cognitivescale,1.5,30.0,3.5,20,growth,0.85,3.8,3.2,0.5,3.7
Anyword,"Keywee offers publishers and marketers a new approach to content distribution and performance measurement. Its revolutionary platform employs advanced text-mining technology and a vast database of historical content performance to help publishers, retailers, and brands find the audiences most likely to meet specific business goals for their content. Keywee’s customers include The British Broadcasting Corporation (BBC), Conde Nast, National Geographic, The New York Times, and Slate. Backed by leading investors including Eric Schmidt’s Innovation Endeavors and Marker LLC, as well as The New York Times Company. Founded in 2013, the company is headquartered in New York with an office in Tel Aviv.",2013,30100000.0,2,2021-11-18,21000000.0,New York,New York,United States,The New York Times|UpWest|Innovation Endeavors|Marker|Omer Kaplan,Arnon Joseph|Yaniv Makover,30,"""AI-Driven Content Distribution and Performance Analytics""",https://anyword.com/,https://www.linkedin.com/company/getanyword/,0.15,20.0,2.5,10,unknown,0.85,3.0,2.5,0.1,2.8
Webee,"Webee accelerate the development and deployment of edge-to-cloud technologies for connected operations. Webee patented technology allows IoT, AI and Computer Vision solutions to work in hours.",2013,300000.0,3,2023-03-03,300000.0,Fairfax,California,United States,BDev Ventures|Miami Angels|Kamay Ventures,Ana Cecilia Flores|Lucas Funes,30,"""Edge-to-Cloud IoT and AI Solutions Provider""",https://www.webee.io/,https://www.linkedin.com/company/webee-universe,1.2,20.0,2.5,15,unknown,0.85,3.0,2.5,0.3,2.8
Flamingo AI,Flamingo AI is an enterprise SaaS company in the field of Conversational Commerce providing Cognitive Virtual Assistants and Knowledge Engines that analyse unstructured data that automate online customer sales and service experiences.,2013,12729627.0,4,2017-12-13,7629627.0,New York,New York,United States,25fifteen|Breakthrough Lab,Catriona Wallace,30,"""Conversational AI for E-commerce Customer Engagement""",http://flamingo.ai/,https://www.linkedin.com/company/flamingoai/,0.1,30.0,2.5,10,unknown,0.85,3.0,2.5,0.05,2.8
Cappasity,"Cappasity lets companies create & deliver 3D/AR/NFT experiences to blur the line between online and in-store shopping. It is the first scalable and easy-to-adopt solution for complex e-commerce projects that only takes 3 minutes/SKU to create a 3D and embed it into a store.  Our clients see higher conversion rates (10-30% increase), higher dwell time in the product page, less returns, and less customer inquiries when their products have interactive 3D images. The platform also provides unique 3D analytics tool based on AI to track customers’ online behavior and ensure the best product presentation online.",2013,7450000.0,8,2021-11-01,1000000.0,Santa Clara,California,United States,CABRA VC|Kosta Popov|EU/US Angels,Alex Chegaev|Elina Minina|Kosta Popov|Marianna Alshina,30,"""3D/AR E-Commerce Experience Enhancement Solutions""",https://www.cappasity.com/,https://www.linkedin.com/company/cappasity-inc-,0.15,20.0,2.5,10,unknown,0.85,2.8,3.0,0.15,2.7
Tesorio,"Tesorio provides finance leaders with the industry's first AI-driven connected finance operations platform, designed to empower business partners and drive growth while maintaining capital efficiency. By aggregating, structuring, and analyzing real-time primary source data, Tesorio delivers actionable insights and automates workflows for collections, cash application, and cash flow forecasting. Unlike platforms that stop at data reporting or point solutions that address only parts of the cash flow process, Tesorio offers end-to-end intelligent automation and enhances cross-functional collaboration. This enables finance leaders to effectively manage cash flow, optimize payment timing, and make strategic decisions that propel the business forward.",2013,33902965.0,5,2022-07-05,17000000.0,San Francisco,California,United States,Bank of America|Slow Ventures|Y Combinator|Madrona|Floodgate,Carlos Vega|Fabio Fleitas,30,"""AI-Driven Financial Operations Automation Platform""",https://www.tesorio.com/,https://www.linkedin.com/company/tesorio,0.42,53.7,3.8,15,growth,0.85,4.2,3.7,0.3,3.9
Lemonaid Health,"Lemonaid Health focuses on changing the patient experience and improving and optimizing clinical care through advancements in machine learning and AI. It leverages evidence-based guidelines and the most up-to-date clinical protocols to offer a service direct to consumers for less than typical co-pays. It was founded in 2013 and is headquartered in San Francisco, California.",2013,55765497.0,4,2020-07-31,36768932.0,San Francisco,California,United States,Sierra Ventures|Correlation Ventures|Artis Ventures|Civilization Ventures|Quest Diagnostics,Ian Van Every|Jason Hwang|Paul Johnson,750,"""AI-Driven Telehealth Solutions for Patient Care""",https://www.lemonaidhealth.com/,https://www.linkedin.com/company/lemonaidhealth/,14.2,18.5,3.8,25,growth,0.85,4.2,3.5,2.1,3.9
Caresyntax,"Caresyntax is a digital surgery platform that enables OR teams to predict and improve surgical performance. Its enterprise-grade digital surgery platform delivers insights to improve patient outcomes by using proprietary software and AI to analyze large volumes of video, audio, images, device data, clinical, and operational data in and around the OR. Caresyntax insights help surgeons benchmark and improve their care, hospital administrators use surgical resources more efficiently, medical device companies advance better products, and insurance companies understand risk and devise more tailored policies. The software is used in more than 4,000 operating rooms worldwide, has supported more than 30,000 surgeons, and improved care for more than 2 million patients.",2013,387500000.0,7,2024-08-15,100000000.0,Boston,Massachusetts,United States,BlackRock|Plug and Play|Optum Ventures|Pictet Alternative Advisors|Intel Capital,Björn von Siemens|Dennis Kogan,175,"""AI-Driven Surgical Performance Analytics Platform""",https://caresyntax.com/,https://www.linkedin.com/company/caresyntax,0.15,25.0,2.5,10,unknown,0.85,3.0,2.5,0.1,2.8
Talview,"Talview offers a recruiting automation and education tech platform that enables schools to remotely screen, interview, and test students. Launched in 2017, Talview's AI-powered candidate experience platform is the fastest way to remotely screen, interview, and test top talent and students. Our chatbot, live and asynchronous video interviewing, assessment, and remote proctoring solutions use advanced NLP and AI technology to empower our clients to select high-quality applicants anytime, anywhere, and administer tests and exams securely. With our 100% mobile experience, you can easily automate routine tasks, build talent pools, and integrate data seamlessly into your ATS or LMS.",2013,21795678.0,7,2021-07-29,15000000.0,San Mateo,California,United States,Athera Venture Partners|Storm Ventures|Inventus Capital Partners|Emergent Ventures|Microsoft Accelerator Bangalore,Jobin Jose|Sanjoe Jose|Subramanian Kailasam|Tom Jose,175,"""AI-Driven Remote Recruitment and Assessment Solutions""",http://talview.com/,https://www.linkedin.com/company/talview/,0.1,30.0,2.5,10,unknown,0.85,2.8,2.0,0.05,2.5
