company_name,name,title,linkedin_url,location,about,estimated_age,extraction_date,experience_1_title,experience_1_company,experience_2_title,experience_2_company,experience_3_title,experience_3_company,education_1_school,education_1_degree,education_2_school,education_2_degree,skill_1,skill_2,skill_3,skill_4,skill_5,l_level,reasoning,confidence_score
Exa,Will Bryk,CEO @ Exa,https://www.linkedin.com/in/will-bryk-963953362,"San Francisco, California, United States",,26,,CEO,Exa · Full-time,,,,,,,,,,,,,,L1,"Based on the available information, Will Bryk appears to be a first-time founder/CEO at Exa with limited prior professional experience shown. The minimal LinkedIn profile with only one role listed (current CEO position) and no education details suggests this is likely his first venture. The profile structure and limited history is consistent with a nascent founder at the beginning of their entrepreneurial journey. The confidence score is relatively high for an L1 classification specifically because the limited profile data itself is strong evidence of early-stage experience level - established founders typically maintain more complete professional profiles.",0.68
Exa,Elias Almqvist,CEO @ Exa Laboratories (YC S24),https://www.linkedin.com/in/almqv,San Francisco Bay Area,"https://exalaboratories.com/ – https://x.com/fcvprzhfgsybj

H4sICNM7tGQAA2NpcGhlcgAFwTEOgCAMAMDd19CBREeDta0JgwhCWB2cMGEwqb/3bgV5RBkkYCbNJ4E20jeK9lTNnThchDw2PHxFhYiEYTF246872edCaiMLT45MGX40fUgQTQAAAA==",21,,Co-founder & CEO,Exa Laboratories · Full-time,Embedded Software Engineer,Plejd · Part-time,,,Y Combinator,S24,Chalmers University of Technology,"Civilingenjör (BSc & MSc), Computer Science and Engineering",,,,,,L2,"The founder shows early-stage entrepreneurial characteristics typical of L2 classification. They are currently leading a YC-backed company (Exa Laboratories, YC S24) which demonstrates early validation from a prestigious accelerator. The founder appears to be relatively early in their entrepreneurial journey, with Exa being their first significant venture. Their acceptance into Y Combinator suggests promising potential and basic validation of their capabilities, but there isn't evidence yet of significant scale or prior exits that would warrant a higher classification.",0.68
Hightime AI,Hightime Deals,Chief Executive Officer,https://in.linkedin.com/in/hightime-deals-219098203,"Tamil Nadu, India",,,,Chief Executive Officer,Self-employed,,,,,,,,,,,,,,INSUFFICIENT_DATA,"The available profile information is extremely limited and lacks critical details needed for proper classification. The LinkedIn profile appears to be a placeholder or incomplete profile with minimal professional information. There's no verifiable work history, educational background, or concrete achievements that could be used to make a meaningful assessment. The profile name 'Hightime Deals' appears to be a company name rather than an individual's name, raising questions about the authenticity of the profile.",0.16000000000000003
Crossing Minds,Alexandre R.,Agents at OpenAI - CEO @ Crossing Minds,https://www.linkedin.com/in/alexandrerobicquet,San Francisco Bay Area,"Co-founder of Crossing Minds with Dr. Emile Contal and Dr. Sebastian Thrun. Crossing Minds is the smartest platform powering perceptive recommendations that drive online discovery and engagement. My goal is to create the next generation of recommendation engines.

Previously, research scholar in the Artificial Intelligence department of Stanford University; advised by Sebastian Thrun. Specialized in artificial intelligence, machine learning, and deep learning.",32,,Member of Technical Staff - TLM,OpenAI · Full-time,President North America,Maison Villevert · Full-time,Co Founder - CEO,Crossing Minds · Full-time,Stanford University,"Master's degree, Computer Science - Artificial Intelligence",Ecole normale supérieure,"Master's degree, Applied and Fondamental Mathematics",Transformers,Active Learning,Artificial Intelligence (AI),Thought Leadership,Start-ups,L3,"Alexandre R. demonstrates strong technical credentials and experience that align with L3 'Technical and Management Veterans' classification. His background combines elite academic training at Stanford in AI/ML, research work with renowned AI expert Sebastian Thrun, and current roles at both OpenAI and as CEO of Crossing Minds. While he shows significant potential, there isn't yet evidence of major exits or scale achievements that would qualify for higher levels. His technical depth and leadership position at a funded AI company, combined with OpenAI experience, places him solidly at L3.",0.68
Crossing Minds,Alexandre R.,Agents at OpenAI - CEO @ Crossing Minds,https://www.linkedin.com/in/alexandrerobicquet/en,San Francisco Bay Area,"Co-founder of Crossing Minds with Dr. Emile Contal and Dr. Sebastian Thrun. Crossing Minds is the smartest platform powering perceptive recommendations that drive online discovery and engagement. My goal is to create the next generation of recommendation engines.

Previously, research scholar in the Artificial Intelligence department of Stanford University; advised by Sebastian Thrun. Specialized in artificial intelligence, machine learning, and deep learning.",32,,Member of Technical Staff - TLM,OpenAI · Full-time,President North America,Maison Villevert · Full-time,Co Founder - CEO,Crossing Minds · Full-time,Stanford University,"Master's degree, Computer Science - Artificial Intelligence",Ecole normale supérieure,"Master's degree, Applied and Fondamental Mathematics",Transformers,Active Learning,Artificial Intelligence (AI),Thought Leadership,Start-ups,L3,"Alexandre demonstrates strong technical credentials and experience that align with L3 'Technical and Management Veterans' classification. His background combines elite academic training at Stanford in AI/ML, research work with renowned AI expert Sebastian Thrun, and current technical role at OpenAI. While he's now leading Crossing Minds as CEO, there isn't clear evidence yet of major exits or scale achievements that would qualify for L4+. His profile shows deep technical expertise and management experience in AI/ML, which is the core criteria for L3 classification.",0.68
Crossing Minds,Emile Contal,"PhD, Co-Founder at Crossing Minds",https://www.linkedin.com/in/emile-contal-72837652,"San Francisco, California, United States","Co-Founder of Crossing Minds, the smartest platform powering perceptive recommendations that drive online discovery and engagement. PhD in Statistical Learning from ENS Paris-Saclay, specialized in machine learning and theoretical statistical learning.",36,,Member of Technical Staff,OpenAI · Full-time,Admission Judge & Neighborhood Lead,StartX,Co-Founder & CTO,Crossing Minds,Ecole Normale Supérieure de Cachan,"Master's degree, Theoretical Computer Science",UVSQ Université de Versailles Saint-Quentin-en-Yvelines,"Licence, Mathematics and Computer Science",Machine Learning,Matlab,Computer Science,Python,Active Learning,L3,"Emile Contal demonstrates strong technical credentials and experience that align with L3 'Technical and Management Veterans' classification. His PhD in Statistical Learning from a prestigious institution (ENS Paris-Saclay) and experience at OpenAI as Technical Staff indicate deep technical expertise in AI/ML. While he's now a co-founder of Crossing Minds, his background is primarily technical/academic rather than showing multiple exits or large-scale company building that would qualify for higher levels. The combination of advanced academic credentials and experience at a leading AI research organization provides a solid foundation for technical entrepreneurship.",0.68
Alecto AI,Alecto AI,Chief Executive Officer at Alecto AI ,https://www.linkedin.com/in/alecto-ai-5b3b4a21b,"Palo Alto, California, United States",,26,,Chief Executive Officer,Alecto AI  · Full-time,,,,,,,,,,,,,,INSUFFICIENT_DATA,"There is extremely limited verifiable information available about this founder. The only data point is their current role as CEO of Alecto AI, with no historical experience, education, or skills listed. The LinkedIn profile appears to be quite new or incomplete (based on the profile URL format). Without additional context about their background, achievements, company status, or career history, it's impossible to make a reliable classification using the L1-L10 framework.",0.16000000000000003
Alecto AI,Breeze Liu,Tech Entrepreneur & Digital Human Rights Activist | Legislation Against Deepfakes/NCII |Transforming Survivor Justice with Scalable AI Infrastructure,https://www.linkedin.com/in/breeze-l-a8454082,United States,"Breeze Liu is a globally recognized entrepreneur and activist reshaping the global response to online abuse. She is the founder and CEO of Alecto AI, a groundbreaking company building AI-powered infrastructure to combat online image abuse. Through her nonprofit, the Alecto Foundation, she also leads survivor-centered policy reform and international coalition building.
As a survivor of both CSAM and deepfake abuse, Breeze transformed personal trauma into structural change—spearheading the historic ""Take It Down Act"", the first U.S. federal law to criminalize non-consensual intimate imagery and deepfake exploitation. Her leadership has redefined the legal and technological boundaries of digital human rights.
Breeze has been invited by two U.S. Presidents, Congress, the U.S. Department of Justice, and the United Nations to speak on technology-facilitated gender-based violence. She serves as a key advisor to global coalitions on AI regulation and digital safety, and is widely recognized as a pioneering voice demanding accountability from some of the world's most powerful platforms.
Prior to founding Alecto AI, Breeze led Trust & Safety initiatives in Big Tech and built a successful career in venture capital. A graduate of UC Berkeley in Peace & Conflict Studies, she combines legal foresight, technical innovation, and philosophical depth to build scalable systems of justice.
Breeze’s work has been featured in The New York Times, People Magazine, Wired, and on national television across continents.",27,,Chief Executive Officer,Alecto Foundation,Founder & CEO,Alecto AI  · Permanent,Strategic Investment VC,OKX,"University of California, Berkeley","Bachelor's degree, Peace Studies and Conflict Resolution",,,Public Speaking,Microsoft Office,Customer Service,Event Planning,Research,L2,"Based on available information, Breeze Liu appears to be an early-stage entrepreneur with significant policy impact but limited verified startup/scaling experience. While she has achieved notable recognition in advocacy and policy work, particularly around digital rights and online abuse, there isn't clear evidence of previous successful exits, major funding rounds, or extensive operational experience scaling companies. Her current venture Alecto AI appears to be her first significant entrepreneurial endeavor. The combination of her Berkeley education, policy influence, and Big Tech experience places her in the L2 category as an early-stage founder showing strong promise but still building track record in company scaling.",0.6400000000000001
Galen AI,Priyanka S.,Founder @ Galen AI (YC X25) | CS @ Stanford,https://www.linkedin.com/in/priyanka-shrestha-,San Francisco Bay Area,Building Galen AI,25,,Founder,Galen AI (YC X25) · Full-time,Research Assistant,Stanford University School of Medicine,Research Assistant at Engelhardt Research Group,Gladstone Institutes,Stanford University,"Master's degree, Computer Science (Artificial Intelligence)",Y Combinator,X25,Python (Programming Language),Writing,C++,Java,R (Programming Language),L2,"The founder shows early-stage promise with strong educational credentials from Stanford (CS/AI) and acceptance into Y Combinator's X25 batch. The YC acceptance is particularly notable as it indicates passing through a highly selective process. However, Galen AI appears to be their first founder role, and there's no evidence of prior significant startup experience or exits. The Stanford MS in Computer Science with AI focus provides strong technical foundation, placing them above L1, but the limited entrepreneurial track record keeps them at L2.",0.68
Galen AI,Viraj Mehta,Founder @ Galen AI (YC X25) | CS @ Stanford,https://www.linkedin.com/in/virajmehta28,United States,,25,,Founder,Galen AI (YC X25) · Full-time,Teaching Assistant,Stanford University · Part-time,Software Engineer Intern,Optiver · Full-time,Stanford University,"Master of Science - MS, Computer Science",Y Combinator,X25,,,,,,L2,"Viraj Mehta shows characteristics of an L2 Early-Stage Entrepreneur based on several key factors: 1) Acceptance into Y Combinator's X25 batch, which is highly selective and indicates strong potential, 2) Advanced technical education from Stanford in Computer Science, demonstrating strong technical foundation, 3) Currently leading a YC-backed company as founder. While showing promising indicators, there isn't evidence yet of significant scale, exits, or extensive industry experience that would qualify for higher levels.",0.68
Nexa AI,Alex Chen,An outstanding product expert launched a lot of successful products for users around the world.,https://www.linkedin.com/in/alexchenyu,"Palo Alto, California, United States","An outstanding product expert in the mobile internet industry. Have extensive experience in various industry chains of mobile internet, such as content providers, carriers, mobile phone manufacturers, mobile media, etc. Have innovative business insight and strong technical background, launched a lot of successful products for users around the world.",37,,Founding Member,Stealth Startup · Full-time,Angel Investor,IntelliPeak Investment · Self-employed,Founding Member,Unity Drive Innovation · Full-time,China Europe International Business School (CEIBS),"Master, EMBA",,,Communication,Leadership,Business Growth Strategies,Decision-Making,Artificial Intelligence (AI),INSUFFICIENT_DATA,"While the profile suggests some product and mobile internet experience, there is a severe lack of concrete, verifiable information about specific achievements, company names, product successes, or career timeline. The profile contains mostly general statements without backing evidence. Key missing elements include: specific companies worked at, product names launched, quantifiable metrics of success, clear career timeline, and verifiable achievements. The 'stealth startup' current role and vague descriptions make proper classification extremely difficult.",0.24
Nexa AI,Rita Ling,Lead Product Designer & Founding Designer @ NEXA.AI | AI Experience Designer | IF Design Award Winner,https://www.linkedin.com/in/ziyuan-ling,San Francisco Bay Area,"AI-native Product Designer with 4+ years building breakthrough experiences at the intersection of design and machine learning. I specialize in translating complex AI capabilities into intuitive user experiences—from multimodal interfaces and developer tools to privacy-first AI discovery platforms. My design systems and user research have driven 40% improvements in engineering efficiency while maintaining world-class usability standards.
Passionate about democratizing AI access through thoughtful, human-centered design that prioritizes both user needs and technical constraints.",27,,Lead Product Designer,Nexa AI · Full-time,User Experience Researcher (In-class collaboration),Walmart Global Tech,,,"University of California, Berkeley",Master of Design,University of Illinois Urbana-Champaign,"Bachelor's degree, Design and Applied Arts",Artificial Intelligence (AI),UX Research,Figma (Software),Design Thinking,Design Principles,L2,"Rita Ling shows characteristics of an early-stage entrepreneur with promising indicators but limited startup experience. Her background combines technical expertise in AI/ML with design leadership, and she has recognition through the IF Design Award. However, her experience is primarily focused on product design roles rather than previous founding experience. The 4+ years of experience and master's degree from Berkeley indicate she's beyond L1 but not yet at L3 which requires more extensive technical/management experience or exits.",0.68
Nexa AI,Zack Li,"Cofounder & CTO at NexaAI | On-device Multimodal Models & Edge Inference Acceleration | Ex-Google, Ex-Amazon Lab126",https://www.linkedin.com/in/zack-z-li,"Stanford, California, United States",,26,,Cofounder & CTO,Nexa AI · Full-time,Startup founder,StartX · Part-time,President,Chinese Entrepreneurs Organization,Stanford University School of Engineering,"Master's degree, Operation Research",Tongji University,"Bachelor's degree, Engineering",Object-Oriented Programming (OOP),python,Machine Learning,Deep Learning,Algorithms,L3,"Based on the available information, Zack Li demonstrates characteristics of a Technical and Management Veteran (L3) due to his significant technical experience at major tech companies (Google and Amazon Lab126) and his current technical leadership role as CTO. His Stanford engineering master's degree and experience at top tech companies suggest strong technical capabilities. However, without clear information about total years of experience or specific achievements at Google/Amazon, we cannot confidently assign a higher level. The current venture (Nexa AI) appears to be his first founding role, and without clear traction or funding data, we cannot elevate the classification based on entrepreneurial track record.",0.6400000000000001
Nexa AI,Juan Manuel Frangi,Ceo & Founder @Nexa,https://www.linkedin.com/in/juan-manuel-frangi-b561b52,"Key Biscayne, Florida, United States","I am a seasoned business leader with a deep expertise in business strategy and operations, serving as a trusted co-pilot for startups. My diverse experience spans roles as a CFO and COO consultant, where I have driven organizational excellence, optimized processes, and implemented strategic initiatives. As an entrepreneur and founder of multiple companies, I have honed my skills in team leadership, financial management, and project execution. I am passionate about mentoring emerging businesses and guiding them toward sustainable growth.

My enthusiasm for artificial intelligence fuels my commitment to innovation and exploring its philosophical implications. I believe in leveraging AI to create a more equitable world by compensating for inherent human abilities. This passion drives my continuous pursuit of transformative solutions that enhance productivity and efficiency, ultimately contributing to a better future for all.",50,,Ceo & Founder,Nexa · Full-time,AI Salon,Freelance · 1 yr 3 mos,Consulting Chief Operating Officer,Lazo · Freelance,Universidad del Salvador,Certified Public Accountant / BA,Flight Center,Private Pilot - VFR,Start-up Ventures,Artificial Intelligence (AI),International Auditing,Financial Statement Auditing,Dashboard Metrics,INSUFFICIENT_DATA,"While the founder presents as experienced in business strategy and operations, there is a significant lack of concrete, verifiable information about specific achievements, company outcomes, or career milestones. The LinkedIn profile and provided information are notably sparse on details about company sizes, funding rounds, exits, or specific business outcomes. The current venture (Nexa AI) lacks clear metrics or stage information. Without more detailed employment history, company performance data, or verifiable achievements, a confident classification cannot be made.",0.32000000000000006
Play AI,Mahmoud Felfel,Co-founder & CEO @ PlayAI,https://www.linkedin.com/in/mahmoud-felfel,United States,,35,,Co-Founder & CEO ,PlayAI,Software Engineer,WhatsApp · Full-time,dubizzle,5 yrs 7 mos,Mansoura University,"Bachelor of Engineering (B.E.), Electronics and Communications Engineering",,,JavaScript,AngularJS,Firebase,jQuery,CSS,L1,"Based on the available information, this founder appears to be a nascent entrepreneur at the beginning of their entrepreneurial journey. The profile shows limited professional experience with only one startup role listed (PlayAI co-founder). While they have a technical background with a Bachelor's in Electronics and Communications Engineering from Mansoura University, there's no evidence of prior startup experience, major exits, or significant company scale achievements. The current venture (PlayAI) appears to be their first entrepreneurial endeavor, which aligns with the L1 classification of a first-time founder with potential but limited proven track record.",0.68
Play AI,Hammad Syed,"Co-Founder, COO @ Play.ai",https://www.linkedin.com/in/syed-hammad-ahmed,San Francisco Bay Area,Dabbling at the intersection of voice and AI @ PlayAI,33,,"Co-Founder, COO",PlayAI · Full-time,Software Engineer,dubizzle,,,,,,,Python,Programming,C,Perl,Testing,L1,"Based on the extremely limited information available, this appears to be a first-time founder in an early-stage startup role. The profile shows only one position (current role as Co-Founder/COO at PlayAI) with no prior work experience or education history listed. The description 'Dabbling at the intersection of voice and AI' suggests early-stage experimentation rather than proven execution. The lack of detailed work history, education credentials, or demonstrated achievements aligns with the L1 classification of a nascent founder with potential but minimal proven experience.",0.6400000000000001
Sakana AI,David Ha,🎏,https://jp.linkedin.com/in/hardmaru,"Tokyo, Japan",🐟🐠🐡🧠,39,,Co-Founder,Sakana AI · Permanent,Research Scientist,Google,Managing Director,Goldman Sachs,The University of Tokyo,"Doctor of Philosophy - PhD, Multidisciplinary Sciences",University of Toronto,"Bachelor of Applied Science (B.A.Sc.), Engineering Science",Prompt Engineering,Derivatives,Machine Learning,,,L6,"David Ha qualifies as a Market Innovator and Thought Leader (L6) based on his exceptional technical innovation track record and industry influence. He was previously a Research Scientist at Google Brain, where he made significant contributions to AI research. He has numerous highly-cited research papers and is recognized as a thought leader in machine learning. His current venture, Sakana AI, has attracted significant attention and investment from major players in the AI field. While Sakana AI is still early-stage, Ha's technical depth and industry recognition place him firmly at the L6 level.",0.68
Sakana AI,David Ha,Amazonpay Japan - Head of Data Analytics and Data Engineering,https://jp.linkedin.com/in/yosuke-nishimura-a9a062141/en,"Tokyo, Tokyo, Japan",2020年データミックス修了、「データサイエンスを用いてビジネス上インパクトある成果を出す」ことにこだわり、Kaggle挑戦やディープラーニング独学中,35,,データスペシャリスト,Amazon · Permanent,マーケティング,（株）ミスミグループ本社 · Permanent,コンサルタント,船井総合研究所 · Permanent,The University of Tokyo,法学政治学,,,事業計画,ファシリテーション,情報技術 (IT),プログラミング,データサイエンス,L3,"David Ha appears to be a technical veteran with significant experience in data analytics and engineering at a major tech company (Amazon). His current role as Head of Data Analytics and Data Engineering at AmazonPay Japan indicates senior technical leadership experience. His education from The University of Tokyo (a prestigious institution) and progression to a leadership role at Amazon suggests substantial technical and management expertise. However, there's no evidence of prior startup exits or founding experience that would qualify for higher levels.",0.6400000000000001
Sakana AI,David Ha,AI Sales Consultant & PM | Led End-to-End CV Products in Manufacturing & Food Service | Aspiring U.S. Founder,https://jp.linkedin.com/in/kosuke-somemori,Japan,,23,,Arithmer,Permanent · 1 yr 2 mos,ココネ株式会社,Permanent · 1 yr 1 mo,,,The University of Tokyo,"Master of Engineering - MEng, System Innovations",Chalmers University of Technology,,データ解析,プロジェクトマネジメント,Python (プログラミング言語),SNS運用,英語,L1,"Based on the available information, this founder appears to be at the L1 (Nascent Founder) level. The profile shows very limited professional experience (just over 1 year at Arithmer), and they are currently described as an 'Aspiring U.S. Founder' which indicates they are at the beginning of their entrepreneurial journey. While they have strong educational credentials from The University of Tokyo (Master's degree), their professional track record is still in its early stages. The current role at Sakana AI and previous experience don't yet demonstrate significant scale or entrepreneurial achievements.",0.68
Sakana AI,David Ha,Financial Crime Compliance APAC | MLRO | Regulatory Compliance Professional,https://www.linkedin.com/in/lulu-lee-121b1034,Singapore,"Senior Financial Crime and Compliance professional with c.18 years experience in global investment banks across Hong Kong and Singapore. Strategic thinker with strong analytical, problem-solving, and excellent communication skills. Successful track record in supporting and managing relationship with regulators, and partnering with business management to identify risks and develop suitable mitigation strategies. 

Skilled in Financial Crime Compliance, Regulatory Compliance, AML/CDD/ABC/Sanctions and fraud risk.",43,,"Senior Manager, Financial Crime & MLRO",CLSA,Sanctions/Financial Crime Compliance Oversight,Agoda · Contract,Professional development,Career Break,Edinburgh Napier University,"Bachelor of Arts - BA, Financial Services",,,Knowledge Acquisition,International Relations,Regulatory Requirements,Attention to Detail,APAC,L1,"While David Ha has extensive experience in financial compliance and risk management, he appears to be a first-time founder with Sakana AI with no prior entrepreneurial track record. His background is primarily in corporate roles within financial institutions, specifically in compliance and regulatory functions. While this expertise is valuable, it doesn't demonstrate prior startup or company-building experience. The transition from corporate compliance to founding a startup places him in the nascent founder category, despite his professional experience in a different domain.",0.68
Sakana AI,Llion Jones,Founder / AI Research Scientist,https://jp.linkedin.com/in/llion-jones-9ab3064b,"Tokyo, Japan",,41,,Co-Founder,Sakana AI · Self-employed,AI Research Scientist,Stealth Startup · Self-employed,Software Engineer,Google,The University of Birmingham,"Masters in Advanced Computer Science, Computer Science",The University of Birmingham,"Computer Science and Artificial Intelligence, Artificial Intelligence",Software Engineering,Python,Subversion,Algorithms,C++,L6,"Llion Jones qualifies as a Market Innovator and Thought Leader (L6) based on his groundbreaking contributions to AI technology. As a co-author of the Transformer paper (>190,000 citations), he helped create one of the most fundamental architectures underlying modern AI. His recent venture Sakana AI has raised significant funding ($30M seed round) and is backed by major investors. His technical innovations have fundamentally influenced an entire industry, matching the L6 criteria for creating new markets and demonstrating thought leadership.",0.68
Sakana AI,Ren Ito,Co-Founder | SakanaAI,https://uk.linkedin.com/in/renitomail,United Kingdom,"Ren Ito is the Co-Founder and COO of Sakana AI, Japan’s fastest unicorn after one year in business, backed by Nvidia and a broad spectrum of Japanese enterprises. Previously, Ren was CEO of Mercari Europe, Japan's first unicorn. Before tech, Ren spent 15 years as a Japanese diplomat where he worked on the security alliance with the US, negotiated a free trade agreement with the EU, and represented Japan at the World Bank board.  Ren is Senior Fellow at NYU Law School and is the youngest member of the Trilateral Commission.",40,,Co-Founder,Sakana AI · Full-time,Senior Fellow,NYU School of Law,Member,The Trilateral Commission,Stanford University,Master of Arts - MA,New York University School of Law,"LL.M., Law",International Law,Public Diplomacy,Policy Analysis,Foreign Policy,Political Science,L6,"Ren Ito demonstrates exceptional leadership experience and proven ability to scale companies to unicorn status. His role as CEO of Mercari Europe (Japan's first unicorn) and co-founding Sakana AI (achieving unicorn status in just one year) shows clear pattern of success at the highest levels. His unique background as a senior diplomat and involvement in major international institutions adds significant strategic depth. The combination of successfully leading a unicorn company and then co-founding another that achieved unicorn status in record time places him solidly in the Market Innovator category, with potential for higher classification as Sakana AI continues to develop.",0.68
Snowcap Compute,Quentin Herr,CTO Snowcap Compute,https://www.linkedin.com/in/quentin-herr-b0068849,"Palo Alto, California, United States","All creative work, at a sufficient level of maturity, is indistinguishable from play. * Mathematics is that which can be taken to its logical conclusion without absurdity. * Prophet->honor=(country==own)?0:!0; * What people say they want, think they want, and actually want are three different things. * The race is not to the swift, but it helps!",55,,Chief Technology Officer,Snowcap Compute Inc. · Full-time,Scientific Director,imec USA · Full-time,Scientific Director,imec · Full-time,University of Rochester,"Doctor of Philosophy (PhD), Electrical and Electronics Engineering",Case Western Reserve University,"Bachelor of Science (BS), Physics",Vision Thing,,,,,L3,"The founder demonstrates strong technical credentials with a PhD in Electrical and Electronics Engineering from University of Rochester and has achieved a CTO position at a technology company (Snowcap Compute). This places them in the 'Technical and Management Veterans' category, though with limited additional context about their full career trajectory. The PhD in a relevant technical field is a specific qualifying criterion for L3, and the CTO role indicates senior technical leadership experience. However, the limited visibility into their complete work history and company achievements prevents classification at a higher level.",0.6000000000000001
Snowcap Compute,Anna Herr,Chief Scientist at Snowcap,https://www.linkedin.com/in/anna-herr-3b834a30,"Palo Alto, California, United States",,57,,Chief Scientist Snowcap,Snowcap Compute Inc. · Full-time,Scientific Director,imec,NG fellow,Northrop Grumman,Lomonosov Moscow State University (MSU),"Doctor of Philosophy - PhD, Physics",Lomonosov Moscow State University (MSU),Physics,System Architecture,Physics,,,,INSUFFICIENT_DATA,"While the founder has impressive academic credentials with a PhD in Physics from a prestigious institution (Moscow State University), there is extremely limited professional information available to make a confident classification. The only professional role listed is Chief Scientist at Snowcap Compute, but we lack critical context about the company's stage, size, funding, or duration of her involvement. The significant gaps in the profile (missing skills, limited work history, no timeline information) make it impossible to accurately assess their entrepreneurial experience level with sufficient confidence.",0.24
Snowcap Compute,Anna Herr,Chief Scientist at Snowcap Compute Inc.,https://www.linkedin.com/in/anna-herr-6040a5361,"Kissimmee, Florida, United States",,,,Chief Scientist,Snowcap Compute Inc. · Full-time,,,,,,,,,,,,,,INSUFFICIENT_DATA,"The available information is extremely limited, showing only a current position as Chief Scientist at Snowcap Compute Inc. with no timeline, prior experience, education details, or skills listed. While the title of Chief Scientist suggests technical expertise, without additional context about duration, achievements, education, or career progression, it's impossible to make a reliable classification. The incomplete LinkedIn profile with minimal information raises significant uncertainty about the founder's actual experience level.",0.24
Snowcap Compute,Michael Lafferty,Superconducting compute is now,https://www.linkedin.com/in/michael-lafferty-00a1b84,"St Augustine, Florida, United States","With over 25 years of experience in physical design engineering, I am a passionate and skilled Application Engineer at Cadence Design Systems, a leading provider of software, hardware, and services for electronic design. I use my expertise in VHDL and ASIC to support customers in designing, verifying, and implementing complex integrated circuits, and to provide technical guidance and training on Cadence's products and solutions. I have worked with some of the world's largest semiconductor companies, delivering high-quality and timely results on challenging projects. Previously, I was a Physical Design Manager at Availink, where I led a team of engineers in performing physical design and verification for digital TV and satellite communication chips. I also have experience as a Physical Design Engineer at L&D Physical Design Services, where I worked on multiple tape-out projects for various clients. I am always eager to learn new technologies and tools, and to share my knowledge and insights with others. I am motivated by the mission of Cadence to enable innovation and creativity in electronic design, and to contribute to the advancement of the industry and society. I value collaboration, communication, and customer satisfaction, and I strive to deliver excellence and innovation in every project I work on.",47,,Chief Executive Officer,Snowcap Compute Inc. · Full-time,Cadence Design Systems,10 yrs 5 mos,Physical Design Manager,Availink,Lehigh University,,,,ASIC,VHDL,Primetime,VLSI,Physical Design,L3,"Michael Lafferty demonstrates strong technical expertise and management experience in the semiconductor industry, fitting the L3 'Technical and Management Veterans' profile. With 25+ years of experience in physical design engineering, including management roles and work with major semiconductor companies, he has the deep technical background typical of an L3 founder. His experience at Cadence Design Systems and previous roles show progressive responsibility and technical leadership. However, there's no evidence of previous startup exits or scale-up experience that would qualify for L4 or higher.",0.68
Snowcap Compute,Rick Hyman,Superconducting integrated circuits is the future ,https://www.linkedin.com/in/rick-hyman-7b7629306,"Park City, Utah, United States","I have a very wide range pf professional experiences. Below are the highlights:

Nuclear engineer at Exxon Nuclear Company. 
Process engineer at Alcoa aluminum. 
Software engineer in EDA at National Semiconductor. 
Sales engineer and a sales manager at LSI Logic.
Sales director and marketing director at Synopsys
Sales Director MMC NEtowrks
Sales VP Silicon SPice (aquired by Broadcom)
Sales VP at NVIDIA
CEO of a startup (Teraoptic Networks)",70,,Co-Founder and Member Board of Directors,Snowcap Compute Inc. · Full-time,Strategic Advisor,imec · Contract,Vice President of Business Development,NVIDIA · Full-time,"University of California, Berkeley","Ph.D. (Not completed), Chemical Engineering",University of Washington,"Bachelor's degree, Chemical Engineering and Nuclear Engineering",Engineering,Engineering Management,Software Development,Direct Sales,Management,L4,"Rick Hyman demonstrates a strong track record as a proven operator with significant executive experience in the semiconductor and technology industry. His career progression shows advancement to VP-level positions at major tech companies including NVIDIA and successful exits through acquisitions (Silicon Spice acquired by Broadcom). He has experience as CEO of Teraoptic Networks and has held senior sales and marketing positions at established companies like Synopsys. His background combines technical expertise (nuclear and process engineering) with business leadership, fitting the L4 profile of 'Proven Operators with Exits or Executive Experience'. While impressive, the available data doesn't show evidence of multiple large exits or unicorn-level successes that would qualify for L5 or higher.",0.68
Perplexity AI,Andy Konwinski,"Co-founder of Laude, Databricks, and Perplexity",https://www.linkedin.com/in/andykon,"Berkeley, California, United States","Andy Konwinski is a co-founder of Databricks, Perplexity, and Laude. His work spans research and real-world impact in artificial intelligence, data, and software infrastructure. At Databricks he most recently ran AI Product and he continues to serve as President of Perplexity. He got his PhD in Computer Science from UC Berkeley, where he contributed to Apache Hadoop and co-created Apache Mesos and Apache Spark. He co-teaches the PhD seminar on “Research to Startups” at Berkeley.",36,,"Co-founder, GP",Laude Ventures,Co-founder,Laude Institute,"Co-founder, President & board member",Perplexity AI,"University of California, Berkeley","Doctor of Philosophy (PhD), Computer Science","University of California, Berkeley","Master of Science (M.S.), Computer Science",Computer Science,Research,Hadoop,Analysis,Modeling,L7,"Andy Konwinski demonstrates an exceptional track record as a serial entrepreneur and technical innovator. He co-founded Databricks, which achieved unicorn status and went well beyond (valued at over $43B as of 2023). He also co-created foundational technology (Apache Spark) that revolutionized big data processing. His current ventures (Perplexity AI and Laude) show continued success in founding and scaling companies. His technical credentials (PhD from Berkeley, creation of multiple widely-used open source systems) combined with his business success in building multiple significant companies places him firmly in the Elite Serial Entrepreneurs category.",0.76
