name,description,short_description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,ai_focus,sector,website,linkedin_url,crunchbase_url,source_url,extraction_date
Alltius,"Alltius develops secure, accurate, and reliable generative AI assistants for products that bring the control of LLMs to product owners.",Alltius creates generative AI assistants for product owners.,2023.0,2400000.0,seed,Siddhant Mishra|Vibhanshu Abhishek,Stellaris Venture Partners|Blume Ventures|Shastra Vc|Gemba Capital|Eximius Ventures,AI|Generative AI,Los Angeles,California,United States,"Alltius specializes in developing generative AI assistants that leverage large language models (LLMs) to provide secure, accurate, and reliable interactions for product owners, enhancing their control over AI functionalities.",ai_nlp,https://www.alltius.ai,https://www.linkedin.com/company/alltius,https://www.crunchbase.com/organization/alltius-inc,https://www.crunchbase.com/organization/alltius-inc,2025-07-14 08:38:03.443588
AIBOT,Revolutionizing urban transit with AI-driven aiEVTOL aircraft—shaping the future of 2C travel through robust 2B data and early revenue.,AIBOT US develops autonomous aircraft powered by AI technology.,2023.0,15000000.0,,,Governor’S Office Of Business & Economic Development,AI|Aerospace,Long Beach,California,United States,"AIBOT US focuses on developing autonomous systems for aircraft, utilizing AI to enhance performance, connectivity, and operational efficiency in the eVTOL (electric Vertical Take-Off and Landing) sector.",ai_transportation,https://aibot.ai,https://www.linkedin.com/company/avaition-startup/mycompany/?viewAsMember=true,https://www.crunchbase.com/organization/aibot,https://www.crunchbase.com/organization/aibot-us,2025-07-14 08:38:10.962940
Crossing Minds,The smartest recommendation platform for your business.,AI recommendation startup for e-commerce.,2017,13500000.0,corporate_round,Alexandre Robicquet|Emile Contal|Sebastian Thrun,Plug And Play|Radical Ventures|Index Ventures|Partech|Sound Ventures,AI|E-commerce|Recommendation Systems,,,,Crossing Minds specializes in developing AI-driven recommendation systems that enhance personalization for e-commerce businesses by analyzing customer behavior data while prioritizing user privacy.,ai_ecommerce,http://www.crossingminds.com,https://www.linkedin.com/in/alexandre-r-61093b6b/,https://www.crunchbase.com/organization/crossing-minds,https://techcrunch.com/2025/06/27/openai-hires-team-behind-ai-recommendation-startup-crossing-minds/,2025-07-14 08:38:20.664369
Pickaxe,The LLM workspace for creative professionals,A workspace for creative professionals utilizing LLM technology.,2023.0,335000.0,pre_seed,,Berkeley Skydeck Fund,AI|Creative Tools,Los Angeles,California,United States,"Pickaxe leverages large language models to enhance productivity and creativity for creative professionals, focusing on natural language processing to facilitate better workflow and idea generation.",ai_creative_tools,https://beta.pickaxeproject.com/,https://www.linkedin.com/company/pickaxeproject/,https://www.crunchbase.com/organization/pickaxe-2f6f,https://www.crunchbase.com/organization/pickaxe-2f6f,2025-07-14 08:38:27.263200
AviaryAI,AviaryAI is an AI Voicebots platform that provides Outbound services at sales team for credit unions.,AI Voicebots platform for credit unions.,2024.0,,undisclosed,Blesson Abraham,Skyla Credit Union|Envisant|Encurage Financial Network,AI|Voicebots,Chicago,Illinois,United States,"AviaryAI specializes in natural language processing (NLP) to create AI voicebots that facilitate outbound communication for sales teams, particularly in the credit union sector.",ai_fintech,https://www.helloaviary.ai,https://www.linkedin.com/showcase/aviaryai,https://www.crunchbase.com/organization/aviaryai,https://www.crunchbase.com/organization/aviaryai,2025-07-14 08:38:38.129920
Brighthive,BrightHive helps companies link their data to empower decision making.,Brighthive is an AI startup specializing in enterprise data management and analysis.,2017,999995.0,seed,Suzanne H. EL-Moursi|Matthew Gee,Plug And Play|Village Capital|Acumen America|Lumina Foundation|Rethink Education,AI|Data Management,Chicago,IL,USA,"Brighthive specializes in enterprise agentic AI data analysis, enabling organizations to orchestrate comprehensive data management and analysis workflows that cater to various teams, irrespective of their data proficiency.",ai_enterprise,https://brighthive.io/,https://www.linkedin.com/company/brighthiveio,https://www.crunchbase.com/organization/brighthive,https://www.reuters.com/press-releases/brighthive-co-founder-ceo-named-top-50-women-ceo-of-2025-2025-02-06/,2025-07-14 08:38:44.292507
SmartRank,SmartRank is a software company that automates the job applicant screening process without needing or using a résumé.,Automates job applicant screening without résumés.,2020,,,Keith Hulen,,AI|HR Tech,Westminster,Colorado,United States,"SmartRank utilizes Natural Language Processing (NLP) to automate the screening of job applicants, eliminating the need for traditional résumés and streamlining the hiring process.",ai_hrtech,https://www.smartrank.ai/,https://www.linkedin.com/company/smartrankai/,https://www.crunchbase.com/organization/smartrank,https://www.crunchbase.com/organization/smartrank,2025-07-14 08:39:01.701214
Naro,"Naro offers content from a company, peers, and industry and Accelerates revenue growth with AI sales enablement.",Naro accelerates revenue growth with AI sales enablement.,2023,,,,,AI|Sales Enablement,Denver,Colorado,United States,"Naro utilizes artificial intelligence to enhance sales processes by providing relevant content from various sources, including the company itself, peers, and industry insights, thereby accelerating revenue growth.",ai_sales_enablement,https://www.narohq.com,https://www.linkedin.com/company/narohq,https://www.crunchbase.com/organization/naro,https://www.crunchbase.com/organization/naro,2025-07-14 08:39:07.267105
Cloudburst Technologies,Cloudburst Technologies provides realtime monitoring solutions and cyber threat intelligence tools.,CloudBurst Data Centers focuses on sustainable infrastructure for data-led enterprises.,2022,3000000.0,seed,Evan Kohlmann,Coinbase Ventures|Bloccelerate Vc|Strategic Cyber Ventures,,Denver,CO,USA,N/A,data_centers,https://burst.cloud/,https://www.linkedin.com/company/cloudburst-tech/about/,https://www.crunchbase.com/organization/cloudburst-technologies-0a3e,https://pitchbook.com/profiles/company/522948-43,2025-07-14 08:39:14.591909
Karini AI,"Karini AI leads in enterprise Generative AI with its no-code platform for building, deploying, and managing apps securely and efficiently.",Karini AI provides a no-code platform for enterprise Generative AI applications.,2023,,,Deepali Rajale,,AI|Generative AI,Alpharetta,Georgia,United States,"Karini AI specializes in generative AI, providing tools that allow users to create, deploy, and manage applications without the need for coding expertise, thereby streamlining the development process for enterprises.",ai_enterprise,https://www.karini.ai,https://www.linkedin.com/company/karini-ai/,https://www.crunchbase.com/organization/karini-ai,https://www.crunchbase.com/organization/karini-ai,2025-07-14 08:39:27.324464
UpDoc,UpDoc is a technology-enabled services company that offers the first-ever proprietary conversational AI platform for autonomous.,UpDoc provides a proprietary conversational AI platform.,2023.5,,seed,,Pear Vc|Eli Lilly|Polaris Partners|Mayo Clinic|Oxeon Partners,AI,Palo Alto,California,United States,UpDoc specializes in developing a proprietary conversational AI platform that utilizes natural language processing (NLP) to enable autonomous interactions.,ai_technology,http://www.updoc.ai/,https://www.linkedin.com/company/updocai/,https://www.crunchbase.com/organization/updoc-f6ca,https://www.crunchbase.com/organization/updoc-f6ca,2025-07-14 08:39:46.846301
Pluto,"Pluto is an investing platform for data-driven investors with over 10,000 members and over 25M investing decisions processed per month",AI-powered investment platform offering personalized strategies and insights.,2021,4225000.0,seed,Dakota Mcdaniels|Jacob Sansbury,Caffeinated Capital|At.Inc/|Switch Ventures,AI|Fintech,Menlo Park,California,United States,"Pluto Capital utilizes artificial intelligence to enhance data analysis for investment decisions, providing personalized investment strategies and real-time insights tailored to individual investors' needs.",ai_fintech,https://www.pluto.fi,https://www.linkedin.com/company/pluto-algotrading,https://www.crunchbase.com/organization/pluto-capital-inc,https://www.reuters.com/technology/artificial-intelligence/trading-app-robinhood-agrees-deal-with-pluto-capital-tap-into-ai-2024-07-01/,2025-07-14 08:40:44.268934
Kairos Financial,Wealth Management for The Rest of Us,An AI-driven platform for financial planning.,2023.0,,,Jared Welker,,AI|fintech,,,,"Kairos Financial utilizes AI to provide personalized financial planning and guidance, acting as a co-pilot for users navigating the complexities of the fintech ecosystem.",ai_fintech,https://www.kairos.financial/,https://www.linkedin.com/company/kairos-financial/about/?viewAsMember=true,https://www.crunchbase.com/organization/kairos-financial,https://www.producthunt.com/products/kairos-financial,2025-07-14 08:40:54.262871
Style DNA,The personal AI stylist in the palm of your hand.,An AI fashion stylist app that personalizes style recommendations based on selfies.,2019,3947676.0,pre_seed,Elena Volkova,Black River Ventures|Business Angel Cyprus,AI|Fashion Tech,,,,"Style DNA utilizes computer vision to analyze selfies and generate personalized style profiles, providing users with tailored clothing recommendations and seasonal color analysis.",ai_fashion,https://styledna.ai,https://www.linkedin.com/company/style-dna/,https://www.crunchbase.com/organization/style-dna,https://techcrunch.com/2024/06/21/style-dna-generative-ai-fashion-stylist-app/,2025-07-14 08:41:28.820684
PIN AI,"PIN AI makes personal on-device intelligence accessible to everyone, transforming digital footprints into a personal executive assistant.",PIN AI offers a personal AI network through a mobile app that prioritizes user privacy and data security.,2024,10000000.0,pre_seed,Davide Crapis|Ben Wu,Alumni Ventures|Hack Vc|A16Z Crypto|Symbolic Capital|Blockchain Builders Fund,AI|Machine Learning,Bay Area,California,United States,PIN AI focuses on natural language processing (NLP) to create a personalized intelligence network that utilizes user-authorized personal data to deliver tailored insights through its mobile application.,ai_nlp,https://www.pinai.io,https://www.linkedin.com/company/pin-ai,https://www.crunchbase.com/organization/pin-ai,https://www.fastcompany.com/91278338/pin-ai-encrypted-assistant-app-launch-llm,2025-07-14 08:41:44.035509
Daydream,"Daydream focuses on providing personalized shopping results through generative AI, machine learning, and computer vision.",An AI chatbot that helps users find fashion items based on their preferences.,2023,50000000.0,seed,Julie Bornstein|Dan Cary|Lisa Yamner Green|Matt Fisher|Richard Kim,Alumni Ventures|Forerunner|Index Ventures|True Ventures|Google Ventures,AI|E-commerce,,,,"Daydream utilizes natural language processing (NLP) to understand user preferences and style, enabling personalized clothing item searches through an AI-powered chatbot interface.",ai_fashion,https://daydream.ing,https://www.linkedin.com/company/daydream-ing,https://www.crunchbase.com/organization/daydream-562f,https://techcrunch.com/2025/06/25/julie-bornsteins-daydream-is-releasing-an-ai-powered-chatbot-for-fashion-related-shopping/,2025-07-14 08:41:55.267247
Cherry,Cherry is a payment solutions company that offers fast and easy payment plans for medical practices.,An AI shopping assistant that allows users to discover products using images.,2020.5,94000000.0,series_b,Ryan Kim|Charles Mourani|Felix Steinmeyer,Village Global|Cross River Bank|Bossa Invest|Csc Upshot|Dcm Ventures,AI|E-commerce,,,,"Cherry utilizes computer vision technology to analyze screenshots or images, enabling users to discover and compare products online efficiently.",ai_ecommerce,https://withcherry.com/,https://www.linkedin.com/company/cherryllc/,https://www.crunchbase.com/organization/cherry-4954,https://techcrunch.com/2024/03/21/meet-cherry-an-ai-shopping-assistant-that-helps-you-discover-products-using-screenshots-or-images/,2025-07-14 08:42:03.110360
Human Cosmos,"AI powered system for a self-development, mobile App",An AI assistant for personal development through mindfulness and psychology.,2017,,,Aliya Grig,,AI|Mindfulness|Personal Development,,,,"Human Cosmos utilizes Natural Language Processing (NLP) to analyze user inputs related to mindfulness, psychology, human design, and astrology, enabling the creation of personalized development plans aimed at improving overall well-being.",ai_healthcare,https://humancosmos.app,,https://www.crunchbase.com/organization/human-cosmos,https://www.producthunt.com/products/human-cosmos,2025-07-14 08:42:11.296527
TensorWave,TensorWave is an AI and HPC cloud platform that uses AMD accelerators to support demanding AI workloads.,TensorWave aims to democratize access to cutting-edge AI compute.,2023,123356650.0,series_a,Darrick Horton|Jeff Tatarchuk|Piotr Tomasik,Nexus Venture Partners|Translink Capital|Amd|Maverick Capital|Prosperity7 Ventures,AI Infrastructure|AI/ML,Las Vegas,Nevada,United States,"TensorWave provides tools and resources necessary for training AI models and optimizing workloads, focusing on enhancing the efficiency and effectiveness of AI infrastructure.",ai_infrastructure,https://tensorwave.com,https://www.linkedin.com/company/tensorwave,https://www.crunchbase.com/organization/tensorwave,https://www.reuters.com/business/ai-infrastructure-firm-tensorwave-raises-100-million-latest-funding-2025-05-14/,2025-07-14 08:42:30.270147
Anysphere,Anysphere is an applied research lab focused on automating coding through innovative AI solutions.,"Anysphere Inc. develops Cursor, an AI-infused code editor for programmers.",2022,1073400000.0,series_c,Oskar Schulz|Aman Sanger|Arvid Lunnemark|Michael Truell|Sualeh Asif,Openai|Andreessen Horowitz|Accel|Thrive Capital|Dst Global,AI|Software Development,,,,"Anysphere Inc. utilizes natural language processing (NLP) to analyze programmers' actions and provide intelligent suggestions for the next lines of code, enhancing coding efficiency and productivity.",ai_development_tools,https://anysphere.inc,https://www.linkedin.com/company/anysphereinc,https://www.crunchbase.com/organization/anysphere,https://www.bloomberg.com/news/articles/2025-04-07/cursor-an-ai-coding-assistant-draws-a-million-users-without-even-trying,2025-07-14 08:42:44.405859
Devin AI Login,Devin AI: The First AI Software Engineer Cognition,An AI coding tool that autonomously resolves programming tasks.,2024.0,,,,,AI|Coding Tools,,,,"Devin utilizes natural language processing (NLP) to autonomously manage and execute programming tasks, effectively acting as a virtual manager for engineering teams.",ai_software_development,https://devinailogin.com/,,https://www.crunchbase.com/organization/devin-ai-login,https://techcrunch.com/2025/05/20/openais-codex-is-part-of-a-new-cohort-of-agentic-coding-tools/,2025-07-14 08:42:50.476096
V0,V0 focuses to distinguish the highest performing venture capital funds.,V0 provides an AI model for enhanced web development capabilities.,2023.5,,pre_seed,,Liquid 2 Ventures,AI|Web Development,,,,"V0 utilizes natural language processing (NLP) to enhance web development tasks, enabling users to create websites more efficiently through AI-driven suggestions and automation.",ai_web_development,https://v0invest.com,https://www.linkedin.com/company/v0,https://www.crunchbase.com/organization/v0,https://techcrunch.com/2025/05/22/vercel-debuts-an-ai-model-optimized-for-web-development/,2025-07-14 08:43:02.475851
