name,description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,sector,website,linkedin_url,crunchbase_url,source_url,extraction_date,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
KPG Ventures,Seed Early stage software venture firm,2011,2400000.0,series-a,Vince Vannelli,,AI|Machine Learning,San Francisco,California,United States,"""Conversational AI for Real-Time Information Retrieval""",http://www.kpgventures.com,https://www.linkedin.com/in/vince-vannelli-aa685/,https://www.crunchbase.com/organization/kpg-ventures/news_and_analysis,https://www.technologyreview.com/2013/04/30/178624/why-big-companies-are-investing-in-a-service-that-listens-to-phone-calls/,2025-07-23 05:39:30.502364,0.3,22.0,3.5,15,growth,0.85,3.8,3.2,0.5,3.7
Holistic AI,"SaaS for AI Risk, Governance, and Compliance",2020,200000000.0,series_unknown,Adriano Koshiyama|Emre Kazim,Premji Invest|Mozilla Ventures,AI|Generative AI,Paris,,France,"""Generative AI Model Development for Advanced Applications""",https://www.holisticai.com,https://www.linkedin.com/company/holisticai/,https://www.crunchbase.com/organization/holistic-ai,https://www.bloomberg.com/news/articles/2024-05-07/deepmind-alums-in-paris-raise-200-million-for-holistic-ai-from-accel?sref=zeydEPbG,2025-07-23 05:39:49.855200,1.2,35.0,4.0,15,early,0.85,3.8,3.5,0.8,3.7
Nanonets,AI-Powered Document Processing and Workflow Automation,2017,34750000.0,series_b,Prathamesh Juvatkar|Sarthak Jain,Y Combinator|Accel|Elevation Capital|Sound Ventures|Fundersclub,AI|Finance,San Francisco,California,United States,"""AI-Driven Financial Management Solutions""",https://nanonets.com,https://www.linkedin.com/company/nanonets,https://www.crunchbase.com/organization/nanonets,https://www.bloomberg.com/news/articles/2024-03-12/accel-backs-startup-seeking-to-use-ai-to-kill-finance-paperwork,2025-07-23 05:39:58.980025,2.5,15.0,4.5,15,unknown,0.85,4.2,4.0,0.8,4.2
NarrativeDx,NarrativeDx is an AI platform that provides root-cause analysis and tells clinicians exactly what to do.,2014,6713000.0,series_a,Kyle Robertson|Senem Guney,Techstars|Floodgate|Capital Factory|Cultivation Capital|Healthx Ventures,Healthcare|AI|NLP,,,,"""AI-Driven Patient Experience Management Solutions""",http://www.narrativedx.com/,https://www.linkedin.com/company/narrativedx,https://www.crunchbase.com/organization/narrativedx,https://angel.co/company/NarrativeDx,2025-07-23 05:40:10.093546,1.2,20.0,3.5,10,growth,0.85,3.8,3.0,0.5,3.7
Care at Hand,Care at Hand is a Predictive Insights Platform Powered by Non-Medical Staff,2011,1655000.0,seed,"Andrey Ostrovsky, MD|Jeffrey Levy|Andrey Ostrovsky",Startup Health|Great Oaks Venture Capital|Rock Health Capital|Ge Ventures|Pcg Public Partnerships,Healthcare Technology|Mobile Health|Digital Health,San Francisco,California,United States,"""Predictive Healthcare Analytics for Hospitalization Prevention""",http://www.careathand.com,http://www.linkedin.com/company/care-at-hand,https://www.crunchbase.com/organization/care-at-hand,https://angel.co/company/care-at-hand,2025-07-23 05:40:18.260509,0.8,18.0,3.8,10,growth,0.85,3.5,2.8,0.3,3.5
Sentrian,Sentrian is a health IT company that uses biosensors and machine learning to make spotting.,1992,15711000.0,series_a,Jack Kreindler,Tech Coast Angels|Telus Global Ventures|Singularity University Ventures|Rev,Healthcare|Remote Monitoring|Big Data Analytics,,,,"""Remote Patient Monitoring and Analytics Solutions""",https://sentrian.com/,,https://www.crunchbase.com/organization/sentrian,https://angel.co/company/sentrian-1,2025-07-23 05:40:29.002618,0.2,15.0,2.5,10,unknown,0.85,2.0,1.5,0.05,2.0
QueueDr,QueueDr is an award-winning product that fills cancelled appointments immediately with no effort required from staff.,2013,1200000.0,series_a,John Nadeau|Patrick Randolph,500 Global|Altitude Ventures|Launchpad Digital Health,Healthcare|AI|Automation,,,,"""AI-Driven Healthcare Appointment Scheduling Automation""",https://www.queuedr.com/,https://www.linkedin.com/company/queuedr,https://www.crunchbase.com/organization/queuedr,https://angel.co/company/queuedr,2025-07-23 05:40:40.114194,0.5,20.0,3.5,10,growth,0.85,3.8,2.5,0.3,3.0
Catalia Health,We create the Mabu personal healthcare companion to help patients with chronic disease and collect data to healthcare providers.,2014,7762500.0,seed,Kristopher Dos|Cory Kidd,Khosla Ventures|Fusion Fund|Abstract|Liquid 2 Ventures|Csc Upshot,AI|Healthcare|Patient Engagement,,,,"""AI-Driven Patient Engagement and Management Solutions""",http://cataliahealth.com,https://www.linkedin.com/company/catalia-health,https://www.crunchbase.com/organization/catalia-health,https://angel.co/company/catalia-health,2025-07-23 05:40:48.982648,2.5,20.0,3.8,15,growth,0.85,3.9,3.2,0.8,3.5
Rogo,Rogo is a secure Generative AI platform purpose-built for elite financial institutions.,2021,79000000.0,series_b,Gabriel Stengel|John Willett|Tumas Rackaitis,Khosla Ventures|Boxgroup|Thrive Capital|Mantis Venture Capital|Alleycorp,AI|Finance,,,,"""AI-Driven Financial Trading Solutions""",https://rogo.ai,https://www.linkedin.com/company/rogodata/,https://www.crunchbase.com/organization/rogo,https://www.theinformation.com/articles/thrive-capital-leads-new-deal-wall-street-ai-startup-rogo,2025-07-23 05:41:07.867217,3.2,20.0,4.0,15,growth,0.85,4.2,3.8,1.0,3.8
Shiboleth,Shiboleth automates back-office QA and compliance in consumer lending.,2023,1750000.0,seed,Bivu Dhungana|Esty Scheiner,Y Combinator|Pioneer Fund|Liquid 2 Ventures,AI|Fintech,,,,"""AI Compliance Solutions for Fintech Partnerships""",https://shiboleth.ai,https://www.linkedin.com/company/shiboleth/about,https://www.crunchbase.com/organization/shiboleth,https://www.axios.com/pro/fintech-deals/2025/02/27/shiboleth-bank-fintech-partnership-compliance-seed,2025-07-23 05:41:27.692977,1.2,18.0,4.5,15,growth,0.85,4.3,3.8,0.8,4.2
Beautiful.Me,Asia's Online Shopping Club For Ladies,2008,2000000.0,angel,Clement Lee|Olive Tai|Zanetta Lee,,AI|Beauty Tech,,,,"""AI-Driven Skin Analysis and Personalization App""",https://www.beautiful.me,https://www.linkedin.com/company/beautiful-me,https://www.crunchbase.com/organization/beautiful-me,https://venturebeat.com/business/this-new-mobile-app-uses-big-data-to-analyze-your-face/,2025-07-23 05:41:44.688256,0.5,18.0,2.5,8,unknown,0.85,3.0,2.5,0.1,2.0
Lily AI,Lily AI is the platform that bridges the gap between brand-speak and customer-speak to drive growth for commerce companies.,1959,71899988.0,series_b,Purva Gupta|Sowmiya Chocka Narayanan,Alumni Ventures|New Enterprise Associates|Sorenson Capital|Conductive Ventures|One Way Ventures,AI|Fashion Tech,,,,"""AI-Driven Personalized Fashion Recommendation App""",https://www.lily.ai,https://www.linkedin.com/company/lilyai,https://www.crunchbase.com/organization/onelook-2,https://venturebeat.com/ai/why-this-shopping-bot-won-the-sxsw-accelerator-pitch-event/,2025-07-23 05:42:04.112520,0.0,0.0,1.0,0,unknown,0.35,1.0,1.0,0.0,1.0
Cyberhaven,"Cyberhaven is an AI-powered data security company focused on detecting and preventing data loss, insider threats, and protecting cloud data.",2016,162250000.0,series_d,Cristian Zamfir|George Candea|Radu Banabic|Vitaly Chipounov|Volodymyr Kuznetsov,Khosla Ventures|Stepstone Group|Adams Street Partners|Vertex Ventures|Forgepoint Capital,AI|Data Security,,,,"""AI-Driven Data Security Solutions for Enterprises""",https://www.cyberhaven.com,https://www.linkedin.com/company/cyberhaven,https://www.crunchbase.com/organization/cyberhaven,https://www.bloomberg.com/news/articles/2024-06-11/ai-security-startup-cyberhaven-raises-88-million-in-new-funding,2025-07-23 05:42:21.968050,3.2,14.0,4.0,15,unknown,0.85,4.2,3.8,0.8,3.8
Area 1 Security,"Area 1 Security is a performance-based cybersecurity company, changing how businesses protect against phishing attacks.",2013,82500000.0,series_b,Brett Johnson|Kurtis Minder|Derek Smith|Blake Darché|Oren J. Falkowitz|Phil Syme,Kleiner Perkins|Forgepoint Capital|First Round Capital|Dcvc|Icon Ventures,Cybersecurity,Redwood City,California,United States,"""Phishing Prevention Cybersecurity Solutions""",https://www.area1security.com/,https://www.linkedin.com/company/area1security,https://www.crunchbase.com/organization/area-1-security,https://www.businessinsider.com/area-1-security-former-nsa-employees-launch-startup-to-stop-social-engineering-2014-12,2025-07-23 05:42:32.362063,1.2,14.0,3.8,15,unknown,0.85,3.9,3.5,0.5,3.7
Protect AI,Protect AI is a cybersecurity company that helps in managing security risks and defending against AI security threats.,2022,84250000.0,series_b,Badar Ahmed|Daryan (D) Dehghanpisheh|Ian Swanson,Samsung Electronics|Stepstone Group|Salesforce Ventures|01 Advisors|Acrew Capital,AI|Security,,,,"""AI-Driven Cybersecurity Solutions for Enterprises""",https://www.protectai.com,https://www.linkedin.com/company/protect-ai,https://www.crunchbase.com/organization/protect-ai,https://www.bloomberg.com/news/articles/2024-08-01/security-startup-protect-ai-valued-at-400-million-in-funding-deal,2025-07-23 05:42:47.273189,3.5,23.1,4.5,40,growth,0.85,4.3,3.8,1.2,4.2
Fellow AI,Cloud-based Inventory Management and Supply Chain Solutions,2011,,series_unknown,Dan Barry|James Fahn|Marco Mascorro|Thavidu Ranatunga,Plug And Play|Scrum Ventures|Singularity University|Singularity University Ventures|Peter Diamandis,Supply Chain|Inventory Management,,,,"""Cloud-Based Inventory Management Solutions""",https://www.fellowai.com/,https://www.linkedin.com/company/fellow-robots,https://www.crunchbase.com/organization/marco-mascorro,https://angel.co/company/fellow-robots,2025-07-23 05:43:01.325767,3.2,15.0,3.8,15,unknown,0.85,3.5,3.2,0.8,3.5
Knightscope,Knightscope specializes in developing autonomous security robots.,2013,113765000.0,post_ipo_equity,Stacy Dean Stephens|William Santana Li,Plug And Play|Ntt Docomo Ventures|Seedinvest|Sahin Boydas|Uphonest Capital,Robotics|Security|AI,,,,"""Autonomous Security Robotics and AI Solutions""",http://www.knightscope.com,https://www.linkedin.com/company/knightscope,https://www.crunchbase.com/organization/knightscope-inc,https://angel.co/company/knightscope,2025-07-23 05:43:11.696656,0.2,20.0,3.5,10,growth,0.85,3.8,3.2,0.15,3.0
Abundant Robotics,Abundant Robotics solves important and large problems in Agriculture by delivering robotic systems for the hardest jobs in agriculture.,2016,12000000.0,series_a,Curt Salisbury|Dan Steere|Michael Eriksen,Yamaha Motor Ventures|Google Ventures|Baywa|Comet Labs|Perot Jain,Robotics|Agriculture Technology,,,,"""Robotic Agricultural Automation Solutions""",http://www.abundantrobots.com/,https://www.linkedin.com/company/abundant-robots,https://www.crunchbase.com/organization/abundant-robotics,https://angel.co/company/abundant-robotics,2025-07-23 05:43:21.948704,1.2,20.0,3.8,15,growth,0.85,3.5,3.0,0.5,3.5
UpDoc,UpDoc is a technology-enabled services company that offers the first-ever proprietary conversational AI platform for autonomous.,2021,,seed,Sharif Vakili|Ashwin Nayak,Pear Vc|Eli Lilly|Polaris Partners|Mayo Clinic|Oxeon Partners,AI|Healthcare|Digital Health,Palo Alto,California,United States,"""Voice-Activated AI for Chronic Disease Management""",http://www.updoc.ai/,https://www.linkedin.com/company/updocai/,https://www.crunchbase.com/organization/updoc-f6ca,https://www.axios.com/2024/01/04/ai-prescription-drug-mayo-clinic-eli-lilly,2025-07-23 05:43:36.274759,1.2,20.0,3.8,15,growth,0.85,3.5,3.2,0.8,3.5
Etiometry,Etiometry is a provider of next-generation patient monitoring software and advanced analytics for hospital ICUs.,2010,14648231.0,series_a,Evan Butler|Dimitar Baronov,Shamrock Holdings|Shepherd Kaplan Krochuk,Healthcare|AI|Clinical Decision Support,Boston,Massachusetts,USA,"""AI-Driven ICU Patient Data Analytics Solutions""",http://www.etiometry.com,https://www.linkedin.com/company/etiometry-llc/,https://www.crunchbase.com/organization/etiometry-llc,https://www.technologyreview.com/2013/06/05/15976/machine-learning-and-risk-prediction-in-the-icu/,2025-07-23 05:43:55.319921,1.2,15.0,3.8,10,unknown,0.85,3.5,3.0,0.5,3.5
Chirp,Chirp uses existing speakers and microphones to enable frictionless M2M communication to seamlessly and securely transfer data via sound.,2018,1342810.0,series_unknown,Anthony Steed|Patrick Bergel,Angels Den|Imperial Innovations|Uclb|Renaissance Capital Partners|Mark Zaleski,,,,,"""Ultrasonic Gesture Recognition Technology for Smart Devices""",https://chirp.io,https://www.linkedin.com/company/chirp-io,https://www.crunchbase.com/organization/chirp-2,https://www.technologyreview.com/2013/12/24/174833/2013-the-years-most-important-computing-stories/,2025-07-23 05:44:05.124263,0.15,20.0,3.5,10,growth,0.85,3.8,3.5,0.3,3.7
Petuum,"Petuum, Inc. is building a platform that serves the full spectrum of Artificial Intelligence",2016,100500000.0,series_b,Dr. Eric Xing|Dr. Qirong Ho|Dr. Ning Li|Eric Xing|Ning Li|Qirong Ho,Tencent|Softbank Vision Fund|Northern Light Venture Capital|Oriza Ventures|Advantech Capital,AI|Machine Learning,Pittsburgh,Pennsylvania,United States,"""Automated Machine Learning Development Software""",http://www.petuum.com/,https://www.linkedin.com/company/petuum,https://www.crunchbase.com/organization/petuum,https://techcrunch.com/2017/10/10/petuum-secures-93m-series-b-to-push-ai-into-the-mainstream/,2025-07-23 05:44:15.961823,0.3,40.0,4.0,10,early,0.85,4.2,3.8,0.5,3.8
RobotWits,RobotWits specializes in developing state-of-the-art planning techniques for self-driving. It has been acquired by Waymo.,2013,,,Maxim Likhachev,,AI|Robotics,Pittsburgh,Pennsylvania,United States,"""Autonomous Vehicle Decision-Making Algorithms""",https://www.robotwits.com/,https://www.linkedin.com/company/robotwits-llc/,https://www.crunchbase.com/organization/robotwits,https://techcrunch.com/2021/07/22/waymo-to-open-offices-in-pittsburgh-an-av-tech-hub/,2025-07-23 05:44:26.016000,0.3,35.0,3.5,10,growth,0.85,3.0,2.5,0.5,3.0
Zensors,Physical AI for the understanding the real world,2019,125000.0,seed,Anuraag Jain|Chris Harrison,Y Combinator|Contrary|Bossa Invest|Scott Belsky|Technexus Venture Collaborative,AI|Computer Vision,Pittsburgh,Pennsylvania,United States,"""AI-Enhanced Computer Vision Solutions for Human Interaction""",https://www.zensors.com,https://www.linkedin.com/company/zensors,https://www.crunchbase.com/organization/zensors,https://www.wired.com/2015/04/mashing-human-smarts-ai-unlock-computer-vision/,2025-07-23 05:44:43.493640,1.2,26.3,3.8,15,growth,0.85,3.9,3.5,0.8,3.7
DATO,DATO is a management consulting company that aims to help customers of any size to protect and regulate their data access.,2016,18500000.0,series-a,Carlos Guestrin|Vitor Andrade,,Machine Learning|Artificial Intelligence,Seattle,Washington,USA,"""Machine Learning Solutions for Business Applications""",https://www.dato.net.br/,https://www.linkedin.com/company/dato-technology/,https://www.crunchbase.com/organization/dato,https://techcrunch.com/2015/01/08/machine-learning-startup-graphlab-gets-a-new-name-and-an-18-5m-check/,2025-07-23 05:44:55.534648,1.2,20.0,3.8,15,growth,0.85,3.5,3.0,0.5,3.7
Anki,Anki is an entertainment robotics company dedicated to bringing artificial intelligence and robotics to people's everyday lives.,2010,142250005.5,series_d,Boris Sofman|Mark Palatucci|Hiroshi Ishiguro|Hanns Tappeiner,Andreessen Horowitz|Index Ventures|Jp Morgan Chase|Two Sigma Ventures|C4 Ventures,AI|Robotics,San Francisco,California,United States,"""AI-Driven Robotics for Consumer Entertainment Products""",http://anki.com,https://www.linkedin.com/company/anki,https://www.crunchbase.com/organization/anki,https://www.businessinsider.com/anki-the-artificial-intelligence-startup-tim-cook-praised-yesterday-has-raised-50-million-2013-6,2025-07-23 05:45:10.321350,0.5,20.0,3.5,10,growth,0.85,3.8,3.2,0.3,3.0
LMArena,"LMArena focuses on building a neutral, open, community-driven platform.",2023,100000000.0,seed,Anastasios Angelopoulos,Andreessen Horowitz|Lightspeed Venture Partners|Kleiner Perkins|Felicis|The House Fund,AI|Machine Learning,Berkeley,California,USA,"""AI Tools Evaluation and Benchmarking Solutions""",https://lmarena.ai,https://www.linkedin.com/company/lmarena,https://www.crunchbase.com/organization/lmarena,https://www.bloomberg.com/news/articles/2025-05-21/lmarena-goes-from-academic-project-to-600-million-startup,2025-07-23 05:45:19.428113,0.5,35.0,4.5,10,early,0.85,4.7,3.8,0.3,4.3
nuTonomy,nuTonomy is a self-driving car company that focuses on inventing software for self-driving vehicles and autonomous mobile robots.,2013,19600000.0,series_a,Karl Iagnemma|Emil Michael|Emilio Frazzoli,Samsung Next|Trucks Venture Capital|Highland Capital Partners|Fontinalis Partners|Signal Ventures,Autonomous Vehicles|Transportation,Boston,Massachusetts,United States,"""Autonomous Vehicle Software Development and Testing""",http://nutonomy.com/,https://www.linkedin.com/company/nutonomy,https://www.crunchbase.com/organization/nutonomy,https://www.boston.com/cars/car-news/2017/10/24/delphi-acquires-self-driving-startup-nutonomy-for-450-million/,2025-07-23 05:45:35.820801,0.1,35.0,3.5,10,growth,0.85,3.8,3.2,0.3,3.7
Luminoso,Luminoso is a cloud-based platform that provides text analytics and product positioning using advanced machine learning,2010,20765703.0,series_b,Catherine Havasi|Jason Alonso|Robyn Speer,Accomplice|Dg Ventures|Ai Capital|Mit Media Lab|Raptor Group,AI|NLP,,,,"""Natural Language Processing for Customer Sentiment Analysis""",http://www.luminoso.com,http://www.linkedin.com/company/luminoso-inc-,https://www.crunchbase.com/organization/luminoso,https://venturebeat.com/entrepreneur/picking-up-on-your-customers-jargon-is-hard-but-luminoso-is-getting-6-5m-to-do-it/,2025-07-23 05:45:47.686739,0.3,20.0,3.5,15,growth,0.85,3.8,3.2,0.5,3.7
Synapsify,"Synapsify is the developer of CORE, an online tool that ranks written content for accelerated insight, discovery and business value.",2012,1150000.0,series_unknown,Stephen Candelmo|Lawrence Au,Maryland Venture Fund|Fortify Ventures|Middleland Capital|Ingram Content Group|Icg Ventures,AI|Text Analysis,,,,"""NLP-Based Text Analysis and Reporting Solutions""",http://www.gosynapsify.com,http://www.linkedin.com/company/synapsify,https://www.crunchbase.com/organization/synapsify,https://venturebeat.com/entrepreneur/text-analysis-startup-synapsify-slurps-up-850k/,2025-07-23 05:45:59.390493,2.1,18.0,3.8,15,growth,0.85,3.9,3.5,0.8,3.7
Idibon,Idibon offers natural language processing solutions that enable organizations to understand unstructured data.,2014,6900000.0,series_a,Rob Munro|Christopher Walker|Robert Munro|Tyler Schnoebelen,Khosla Ventures|Samsung Ventures|Altpoint Ventures|Inventec Corporation|Morningside Private Investors,AI|Natural Language Processing,San Francisco,California,United States,"""Multilingual NLP Analytics for Product Insights""",http://idibon.com,https://www.linkedin.com/company/idibon,https://www.crunchbase.com/organization/idibon,https://venturebeat.com/business/startup-idibon-shows-brands-what-customers-hate-about-them-in-any-language/,2025-07-23 05:46:09.051149,0.8,20.0,3.5,15,growth,0.85,3.8,3.2,0.5,3.7
SkyPhrase,SkyPhrase uses natural language processing to make data such as web analytics and sports statistics easily accessible to its users.,2011,450000.0,seed,unknown|Nicholas Cassimatis,The Thiel Foundation|Han Huang,Natural Language Processing|AI,unknown,unknown,unknown,"""Conversational AI and Natural Language Processing Solutions""",http://skyphrase.com,https://unknown,https://www.crunchbase.com/organization/skyphrase,https://venturebeat.com/mobile/skyphrase-yahoos-latest-buy-has-siri-competitor-written-all-over-it/,2025-07-23 05:46:20.062436,2.1,20.0,3.8,15,growth,0.85,3.9,3.2,0.8,3.5
Babel Street,Babel Street provides real-time situational awareness and intelligence on global topics of interest.,2009,2612500.0,series_unknown,Jeff Chapman|Jeffrey Chapman|Shon Myatt,,AI|Data Analytics,,,,"""Multilingual AI Data Analytics for Social Insights""",http://babelstreet.com,http://www.linkedin.com/company/babel-street,https://www.crunchbase.com/organization/babel-street,https://venturebeat.com/entrepreneur/babel-street-picks-up-2m-to-serve-as-your-international-data-interpreter/,2025-07-23 05:46:29.771258,1.2,18.0,3.8,15,growth,0.85,3.5,2.8,0.5,3.2
Narrative Science,Narrative Science creates software that writes stories from enterprise data to drive understanding and results.,2010,42850000.0,series_unknown,Kristian Hammond|Larry Birnbaum|Nick Beil|Stuart Frankel,Northwestern University|Sapphire Ventures|Battery Ventures|Sv Angel|Jump Capital,AI|NLP,Chicago,Illinois,United States,"""AI-Driven Natural Language Generation for Data Insights""",http://www.narrativescience.com,http://www.linkedin.com/company/narrative-science,https://www.crunchbase.com/organization/narrative-science,https://venturebeat.com/business/narrative-science-goes-beyond-robot-journalism-with-cia-investment/,2025-07-23 05:46:38.857940,0.3,25.0,3.5,10,growth,0.85,3.8,3.2,0.15,3.7
Fluential,"Fluential is a developer of advanced speech and linguistic interfaces for the military, healthcare, and digital health industries.",1998,9000000.0,series_a,Farzad Ehsani|Demitrios Master,Nanthealth|Patrick Soon Shiong,AI|Voice Recognition,,,,"""Advanced Natural Language Processing Voice Recognition Technology""",http://fluential.com,http://www.linkedin.com/company/fluential,https://www.crunchbase.com/organization/fluential,https://venturebeat.com/entrepreneur/fluentials-voice-recognition-tech-lets-your-device-understand-you-better-than-humans-exclusive/,2025-07-23 05:46:47.252744,0.3,15.0,3.5,10,unknown,0.85,3.8,3.2,0.15,3.0
DNNresearch,DNNresearch develops voice and image recognition solutions.,2012,,,Geoffrey Hinton|Alex Krizhevsky|Ilya Sutskever,,AI|Machine Learning,Toronto,Ontario,Canada,"""AI Neural Networks for Speech and Vision Applications""",http://www.dnnresearch.com/,,https://www.crunchbase.com/organization/dnnresearch,https://techcrunch.com/2013/03/12/google-scoops-up-neural-networks-startup-dnnresearch-to-boost-its-voice-and-image-search-tech/,2025-07-23 05:47:07.932373,1.2,35.0,4.5,15,early,0.85,4.0,3.5,0.5,4.2
Cursor,"Cursor is a collaborative analytics platform that allows users to author, organize, and search code from around their organization.",2022,3250000.0,series_a,Adam Weinstein|Jason Mcghee|Patrick Farrell,Toba Capital|Kent Ağrı|Vanilla Solutions   Vc|Ride Ventures,AI Coding Assistants|Code editors,,,,"""AI-Enhanced Software Development Tools""",https://www.datarobot.com/cursor,https://www.linkedin.com/company/cursordata,https://www.crunchbase.com/organization/cursor,https://www.producthunt.com/products/cursor,2025-07-23 05:47:53.144146,1.2,28.0,4.5,15,growth,0.85,4.3,3.8,0.8,4.2
RightNow AI,Profile and optimize CUDA code in seconds,2019,,,,,AI Coding Assistants|Code Review Tools,,,,"""AI-Driven GPU Optimization Tools for Developers""",https://www.rightnowai.co/,https://www.linkedin.com/company/rightnowai/,https://www.crunchbase.com/organization/rightnow-ai,https://www.producthunt.com/posts/rightnow-ai-2,2025-07-23 05:48:03.048751,0.45,28.0,4.0,12,growth,0.85,4.2,3.8,0.35,3.8
Basalt,Basalt is a research and development firm that is involved in the research and development of basalt fiber and improving the basalt fiber.,2018,,,,,AI|Machine Learning,,,,"""AI-Driven Natural Language Processing Integration Tools""",http://basalt.co.jp/,,https://www.crunchbase.com/organization/basalt,https://www.producthunt.com/posts/basalt-1,2025-07-23 05:48:10.470011,0.5,20.0,3.5,15,growth,0.85,3.8,3.5,0.8,3.7
