Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Headstaart,https://www.crunchbase.com/organization/headstaart,"Artificial Intelligence (AI), FinTech, Information Technology, SaaS, Software","Roselle, New Jersey, United States",2025-01-01,day,200000,USD,200000,"SaaS, AI, Marketplace, Fintech, LegalTech, B2B, Startup Tools, Venture Platform","31,612",,"28,721",1,2025-06-24,200000,USD,200000,200000,USD,200000,,,,1,Sapna Rajput,11-50,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.headstaart.com/,https://x.com/headstaart,,https://www.linkedin.com/company/headstaart,"Headstaart is a next-generation, AI-powered SaaS platform revolutionizing startup fundraising and business acquisition through intelligent matchmaking, automation, and verified infrastructure. Operating at the intersection of VentureTech, DealFlow Automation, and LegalTech, Headstaart unites student founders, entrepreneurs, investors, and business agents in a single streamlined ecosystem built for outcomes—not noise. Entrepreneurs can generate investor-grade pitch decks in minutes using AI, list their ventures for equity sale or full acquisition, and access ready-to-use legal documentation. Verified investors leverage advanced filters—such as geography, founder type, or industry—and gain trust signals through fund verification. Business agents access a robust dashboard with lead insights, deal flow visibility, and monetization tools, including platform-verified credentials and commission-based opportunities. Built on principles of Account-Based Matching, Startup Infrastructure SaaS, and Business Brokerage-as-a-Service, Headstaart replaces fragmented outreach with structured, AI-enhanced workflows for faster, smarter, and compliant transactions. Positioned as the Zillow for startups, Headstaart isn’t just eliminating friction—it’s systematizing how early-stage ventures get discovered, evaluated, and funded."
Frekil,https://www.crunchbase.com/organization/frekil,"Artificial Intelligence (AI), Health Care, SaaS","San Francisco, California, United States",2025-04-02,day,500000,USD,500000,Frekil is a health tech company that offers an AI-powered medical annotation software.,"32,671",,"29,698",1,2025-04-11,500000,USD,500000,500000,USD,500000,Y Combinator,,1,2,"Nikhil Tiwari, Shivesh Gupta",1-10,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://www.frekil.com,,,https://www.linkedin.com/company/frekil,"AI is transforming healthcare, but the biggest bottleneck remains—annotating medical images with speed, accuracy, and scale. Frekil eliminates this roadblock. Frekil helps healthcare AI teams, medical device companies, and pharmaceutical companies annotate medical images like X-rays, CTs, MRIs, etc., efficiently for AI training, clinical trials, and FDA approvals. Our AI-assisted platform speeds up annotation 5x while maintaining high accuracy through real-time quality control, consensus checks, and advanced 3D visualization. We also provide tools to track annotator performance, build custom workflows, and increase labeling accuracy. By combining efficiency with precision, Frekil enables teams to build high-quality datasets much faster, supporting the development and deployment of reliable medical AI and clinical research solutions."
Tendersight,https://www.crunchbase.com/organization/tendersight,"Artificial Intelligence (AI), B2B, GovTech, SaaS","San Francisco, California, United States",2025-01-01,year,1000000,USD,1000000,AI OS for Government Contracting,"32,836",,"29,846",1,2025-06-12,1000000,USD,1000000,1000000,USD,1000000,,,,2,"Andrei-Dragoș Pătrașcu, Călin Marin",1-10,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Other, Science and Engineering, Software",,,Active,For Profit,https://tendersight.ai,,,https://www.linkedin.com/company/tendersight,
Mahalo Software,https://www.crunchbase.com/organization/mahalo-software-8bcc,"Artificial Intelligence (AI), Software","Chicago, Illinois, United States",2025-01-01,year,2600000,USD,2600000,Mahalo Software delivers Product Ownership Experiences.,"32,957",,"29,961",1,2025-06-24,2600000,USD,2600000,2600000,USD,2600000,"Bridge Venture Fund, Motivate Venture Capital, Diagram Ventures",1,3,3,"Lars Bowlin, Nadim El-Asmar, Robert Lowe",1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,,https://www.getmahalo.com/,,,https://www.linkedin.com/company/getmahalo/about/,Mahalo Software delivers Product Ownership Experiences.
talkingly ai,https://www.crunchbase.com/organization/talkingly-ai-899b,"Generative AI, Information Technology, Software","Fremont, California, United States",2025-01-31,day,13500000,USD,13500000,Talkingly ai is a generative AI company that is positioned to make the web conversational.,"34,247",,"31,164",1,2025-02-25,13500000,USD,13500000,13500000,USD,13500000,,,,3,"Rahul Agrawal, Sanchali sharma, Yadavinder Singh Gill",1-10,"Artificial Intelligence (AI), Information Technology, Software",,,Active,For Profit,https://www.talkingly.ai,,,https://www.linkedin.com/company/talkingly-ai/,Talkingly ai is a generative AI company that is positioned to make the web conversational. The company is dedicated to developing cutting-edge AI technology to create natural and engaging conversations between humans and machines.
Axal,https://www.crunchbase.com/organization/axal-2697,"Artificial Intelligence (AI), Consulting, Software","San Francisco, California, United States",2025-01-01,day,500000,USD,500000,"Axal is a software company that offers software rearchitecting, documentation, code analytics, and codebase adaptation solutions.","34,557",,"31,449",1,2025-01-01,500000,USD,500000,500000,USD,500000,Y Combinator,,1,2,"Nand Vinchhi, Samai Patel",1-10,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://www.axal.ai,https://x.com/axledit,https://www.facebook.com/AxleAI/,https://www.linkedin.com/company/axalai/?viewAsMember=true,"Axal decreases the risk of modernization by automating the identification of technical debt and prioritizing refactoring opportunities based on business goals.  We provide observability to analyze monolithic dependencies, isolate tightly coupled domains, and plan phased modernization using the Strangler Fig approach.  Axal accelerates timelines and reduces costs with actionable roadmaps, clear progress visualizations, and measurable milestones that align stakeholders and drive team efficiency."
LightXcelerate,https://www.crunchbase.com/organization/lightxcelerate,"Artificial Intelligence (AI), Cloud Computing, Lighting","Palo Alto, California, United States",2025-01-01,year,1950000,USD,1950000,"Photonics empowers the next computing paradigm, unlocking unprecedented possibilities for artificial intelligence.","35,099",,"31,964",1,2025-06-25,1950000,USD,1950000,1950000,USD,1950000,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://lightxcelerate.com/,,,,
lans,https://www.crunchbase.com/organization/lans-730c,"Artificial Intelligence (AI), Consumer, Coworking, Marketplace, PropTech","San Francisco, California, United States",2025-01-07,day,175000,USD,175000,real-life mobility sync for the AI-native worklife,"37,387",,"34,105",1,2024-07-07,175000,USD,175000,175000,USD,175000,,,,2,"Furkan Oz, Tahsin Aktas",1-10,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Other, Real Estate, Science and Engineering, Software",,,Active,For Profit,https://www.lans.app,https://twitter.com/lans_sf,https://www.instagram.com/try.lans/,https://www.linkedin.com/company/lansinc,Lans is a San Francisco-based company creating real-life mobility sync for the AI-native worklife.
Clarifeye,https://www.crunchbase.com/organization/clarifeye,"Artificial Intelligence (AI), Software","Dover, Delaware, United States",2025-01-01,year,3662759,USD,3662759,Clarifeye is a software development company that offers an augmented reality-based surgical navigation tool.,"38,564",,"35,203",1,2025-03-21,3662759,USD,3662759,3662759,USD,3662759,,,,1,Mathieu Grisolia,1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.clarifeye.ai/,,,https://www.linkedin.com/company/clarifeyeai/,
CareSwift,https://www.crunchbase.com/organization/careswift,"Artificial Intelligence (AI), Emergency Medicine, Software","New York, New York, United States",2025-03-31,day,500000,USD,500000,"Careswift: Better Documentation, Fewer Denials, More Revenue","38,963",,"35,576",1,2025-05-22,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,3,"Brian Weigand, John Mussalli, Jonathan Zero",1-10,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://careswift.com,https://x.com/careswiftinc,,https://www.linkedin.com/company/careswift,"Careswift delivers AI-powered documentation solutions for EMS regulatory compliance. Our platform validates documentation against medical necessity criteria, reducing compliance risks while optimizing reimbursement. Agencies achieve improved claim acceptance rates, decreased denials, and faster payments while maintaining adherence to healthcare regulations and payer requirements. CareSwift combines technology innovation with revenue cycle optimization for emergency medical services reimbursement."
Terracotta AI,https://www.crunchbase.com/organization/terracotta-ai,"Cloud Infrastructure, DevOps, Generative AI, IT Infrastructure","San Francisco, California, United States",2025-02-01,month,2700000,USD,2700000,Accelerate Infra as Code deployments with AI,"39,587",,"36,159",2,2025-01-01,2000000,USD,2000000,2700000,USD,2700000,"Y Combinator, Ambush Capital",1,2,2,"Carlos Feliciano, Casey Wilcox",1-10,"Artificial Intelligence (AI), Hardware, Information Technology, Internet Services, Software",,,Active,For Profit,https://tryterracotta.com,,,https://www.linkedin.com/company/tryterracotta,"We help infrastructure teams accelerate Infrastructure as Code deployments from days to minutes with AI-powered Infra as Code PR reviews. Our AI IaC PR reviews give your team complete visibility and contextual feedback on what real-time changes, risks, and issues will occur in your IaC deployment pipeline. Before you deploy, Terracotta comments on every IaC PR created, detecting and fixing drift, misconfigurations, security vulnerabilities, blast radius, and more."
EliotNest,https://www.crunchbase.com/organization/eliotnest,"Artificial Intelligence (AI), Fraud Detection, Information Technology, Internet of Things","New City, New York, United States",2025-01-01,year,8999999,USD,8999999,"EliotNest is a tech company that combines AI, data, and investigative expertise to build products for fraud detection.","40,427",,"36,947",1,2025-04-15,8999999,USD,8999999,8999999,USD,8999999,,,,1,Auren Hoffman,1-10,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Internet Services, Payments, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://eliotnest.com/,,,https://www.linkedin.com/company/eliotnest/,"EliotNest combines AI, data, and investigative expertise to build products that revolutionize the way the government fights fraud."
Dipp AI Technologies,https://www.crunchbase.com/organization/dipp-ai,"Artificial Intelligence (AI), Financial Services, Health Care, Insurance, Life Science, Machine Learning, Software","Seattle, Washington, United States",2025-03-01,day,1200000,USD,1200000,Dipp AI is the research and product company building the orchestration layer for superintelligent multi-agent enterprise systems.,"40,712",,"37,208",1,2025-03-17,1200000,USD,1200000,1200000,USD,1200000,,,,1,Odero Otieno,1-10,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Financial Services, Health Care, Science and Engineering, Software",,,Active,For Profit,https://dippai.com,,,https://www.linkedin.com/company/dipp-ai,"Dipp AI is the research and product company building the orchestration layer for superintelligent multi-agent enterprise systems. Current AI tools like chatbots and copilots operate in silos, lack coordination, and offer little to no real-time oversight — making them fundamentally unfit for the complex, high-stakes, role-based workflows in regulated industries like healthcare, finance, insurance, and government. This results in inefficiencies, risks, and a failure to scale AI beyond narrow, single-point tasks. Dipp AI is building the human-AI interaction platform for orchestrating superintelligent multi-agent systems across complex mission-critical enterprise workflows in industries like healthcare, insurance, finance and government. More specifically, we’re building a platform with three core components: Agent Mesh Orchestration Engine A coordination layer that enables multiple AI agents—each with specific roles, permissions, and specializations—to collaborate on complex tasks. These agents can reason, delegate, and escalate across systems, breaking beyond the limits of single-agent copilots. Role-Based Directive Interface A structured UI and API layer that allows human experts in any function—clinical, financial, operational—to issue directives to the agent mesh in natural or formal language. This supports dynamic collaboration, not just static task automation. Real-Time Oversight and Governance Layer A virtualization and feedback interface that lets humans supervise, intervene, and audit agent decisions in real time. This layer enforces accountability, traceability, and compliance—critical for regulated industries. Together, these components form a unified platform for deploying safe, scalable, and auditable AI systems in domains where workflows are too complex and sensitive for copilots alone."
Contrario,https://www.crunchbase.com/organization/contrario,"Artificial Intelligence (AI), B2B, SaaS","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Contrario is an entirely autonomous recruiting agency that operates on the basis of advanced artificial intelligence technology.,"41,688",,"38,124",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Aditya Sood, Arya Marwaha",1-10,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",,,Active,For Profit,https://www.contrario.ai/,https://x.com/ContrarioAI,,https://www.linkedin.com/company/contrario-ai/,
rPotential,https://www.crunchbase.com/organization/rpotential,"Artificial Intelligence (AI), Information Technology, Internet","San Francisco, California, United States",2025-01-01,year,5500000,USD,5500000,rPotential is a technology company that optimizes workforce configurations between humans and digital workers.,"42,061",,"38,478",1,2025-06-03,5500000,USD,5500000,5500000,USD,5500000,,,,,,1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://rpotential.ai/,,,https://www.linkedin.com/company/rpotentialai/,
a0.dev,https://www.crunchbase.com/organization/a0-dev,"Artificial Intelligence (AI), Developer Tools, Generative AI","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,a0.dev enables mobile developers to efficiently create high-quality applications by generating customized React Native projects.,"42,072",,"38,488",1,2025-03-12,500000,USD,500000,500000,USD,500000,"Y Combinator, Pioneer Fund, Karman Ventures, Ryan Merket",1,4,2,"Ayomide Omolewa, Seth Setse",1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://a0.dev/,https://x.com/a0_dev,,https://www.linkedin.com/company/a0-dev/,
General Intelligence Company of New York,https://www.crunchbase.com/organization/general-intelligence-company-of-new-york,Artificial Intelligence (AI),"New York, New York, United States",2025-01-01,month,2000000,USD,2000000,General Intelligence Company of New York is an AI full stack orchestration platform.,"42,612",,"38,993",1,2025-04-14,2000000,USD,2000000,2000000,USD,2000000,"Acrew Capital, Compound",2,2,,,1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://generalintelligencecompany.com,,,https://www.linkedin.com/company/the-general-intelligence-company-of-new-york,General Intelligence Company of New York is an artificial intelligence company taking advantage of upcoming AI developments.
Calltree AI,https://www.crunchbase.com/organization/calltree-ai,"Artificial Intelligence (AI), B2B, Call Center, Customer Service, Generative AI, SaaS","San Francisco, California, United States",2025-01-01,day,500000,USD,500000,Calltree AI utilizes data-driven insights to optimize contact center operational costs.,"43,056",,"39,401",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Kun Qian, Robertson Taylor",1-10,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://calltree.ai/,https://x.com/calltreeai,,https://www.linkedin.com/company/calltree-ai/,"Calltree AI, founded in 2025 and based in San Francisco, is a SaaS company that leverages generative AI to optimize contact center workflows. The company's AI agent analyzes millions of minutes of contact center recordings to identify inefficiencies in workflows and quantify the cost of each action. These insights are delivered through an analytics tool and reports that help operations leaders build business cases to prioritize improvements. Founders Kun Kian and Robertson Taylor lead the company."
Lucidic AI,https://www.crunchbase.com/organization/lucidic-ai,"Artificial Intelligence (AI), Developer Tools, SaaS","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,"Lucidic AI is a software that provides AI tools to run tests, optimize, and simulate complex tasks.","43,084",,"39,427",1,2025-03-12,500000,USD,500000,500000,USD,500000,"Y Combinator, Vijay Krishnan",1,2,3,"Abhinav Sinha, Andy Liang, Jeremy Tian",1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://lucidic.ai/,https://x.com/LucidicAI,,https://www.linkedin.com/company/lucidic-ai/,
Nexia Capital,https://www.crunchbase.com/organization/nexia-capital,"Artificial Intelligence (AI), Software, Software Engineering","Dover, Delaware, United States",2025-01-01,day,300000,USD,300000,"Nexia Capital builds AI-driven software solutions. Focused on IA, expanding to new sectors with a team of 14+ experts.","43,427",,"39,745",1,2025-05-07,300000,USD,300000,300000,USD,300000,,,,4,"ANAHI CERRANO, Diego Diaz, Gaston Cumoll, Santiago DIaz",11-50,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://nexiacapital.godaddysites.com/,https://x.com/nexiacapital,,https://www.linkedin.com/company/nexia-capital/,"Nexia Capital is an AI engineering company dedicated exclusively to building intelligent agents. Our core mission is to design and deploy autonomous AI systems that solve high-value problems across industries. Our first real-world application is already live: a market intelligence agent that analyzes the Argentine financial market in real time. This agent powers a subscription-based service with over 100 active users and several institutional clients, delivering up-to-the-minute insights and reports tailored to local market dynamics. We are a growing team of 14+ experts, primarily composed of AI engineers and finance specialists, complemented by professionals in graphic design and human resources. This multidisciplinary structure allows us to build AI solutions that are not only technically robust, but also user-friendly and scalable. While our initial focus is in FinTech, our vision extends beyond finance. As the company grows, we are fully committed to dedicating all of our engineering capacity to developing AI-driven agents, expanding into new sectors and unlocking transformative use cases through applied artificial intelligence. Our first real-world application is already live: a market intelligence agent that analyzes the Argentine financial market in real time. This agent powers a subscription-based service with over 100 active users and several institutional clients, delivering up-to-the-minute insights and reports tailored to local market dynamics. While our initial focus is in FinTech, our vision extends beyond finance. As the company grows, we are committed to dedicating all of our engineering efforts to the development of AI-driven agents, expanding into new sectors and unlocking transformative use cases through applied artificial intelligence. At Nexia Capital, we’re not just building technology — we’re shaping the future of specialized, market-driven AI solutions. By leveraging the latest technologies and low-code platforms, we avoid reinventing the wheel and instead focus on building powerful solutions on top of existing tools to address challenges that current technologies can’t yet solve. We are currently open to selling up to 10% of the company in exchange for $2 million in funding. The capital will be used to acquire equipment and expand our operations beyond the financial sector. We are seeking one or more strategic investors who can not only support this round of financing but also contribute with connections, strategic input, and a collaborative role in shaping our growth plans and decision-making processes."
Brandstak,https://www.crunchbase.com/organization/brandstak,"Artificial Intelligence (AI), B2B, Generative AI, PaaS, Predictive Analytics, Retail Technology, SaaS","New York, New York, United States",2025-06-01,month,865000,GBP,1172700,"Brandstak provides AI-driven services for inventory optimization, demand sensing, data harmonization, and omnichannel order management.","43,969",,"40,254",1,2025-06-02,865000,GBP,1172700,865000,GBP,1172700,Emerisque Brands UK,1,1,3,"Ajay Khaitan, Arjun Dutt, James Waterhouse",1-10,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Other, Science and Engineering, Software",,,Active,For Profit,https://www.brandstak.ai,,,https://www.linkedin.com/company/brandstak/,"Brandstak delivers an AI-powered enterprise operating system that enables fashion and lifestyle brands to unify complex back-office systems and generate actionable insights. The platform integrates AI/ML-driven data harmonization, inventory optimization, demand sensing, customer journey analytics, and real-time API connectivity for composable commerce frameworks. It captures hidden margin opportunities, balances demand fulfillment with inventory levels, and streamlines omnichannel order and pricing decisions. The solution supports headless commerce adoption, social media attribution, and geospatial analytics to influence customer journeys and reduce returns. It targets mid-market lifestyle brands facing complex legacy systems and retail technology challenges."
Autosana,https://www.crunchbase.com/organization/autosana,"Artificial Intelligence (AI), Developer Tools, Software","San Francisco, California, United States",2025-04-01,day,500000,USD,500000,Autosana offers an AI-powered mobile app quality assurance platform that automates end-to-end testing using natural language instructions.,"44,432",,"40,678",1,2025-06-30,500000,USD,500000,500000,USD,500000,,,,,,1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://autosana.ai,,,https://www.linkedin.com/company/107381210,"Autosana offers an AI-powered mobile app quality assurance platform that automates end-to-end testing using natural language instructions. Teams can describe test scenarios without writing code, and Autosana generates and runs the tests across iOS and Android environments. The tool integrates with CI/CD pipelines, adapts to interface changes through self-healing tests, and provides session replays for visual verification and debugging. It supports app frameworks like React Native, Flutter, Swift, and Kotlin, aiming to reduce the time and effort spent on manual or brittle automated testing."
Loop Smart AI,https://www.crunchbase.com/organization/loop-smart-ai,"Analytics, Artificial Intelligence (AI)","San Francisco, California, United States",2025-01-01,year,400000,USD,400000,LoopSmart AI is an enterprise-focused AI platform that provides AI agents for automating corporate activities and increasing productivity.,"44,942",,"41,155",1,2025-07-09,400000,USD,400000,400000,USD,400000,"Mantra, Monday Capital",2,2,1,İlker Zorluoğlu,1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,,https://loopsmartai.com/,,,https://www.linkedin.com/company/loopsmartai/,"LoopSmart AI is an enterprise-focused AI platform that provides AI agents for automating corporate activities, lowering operating expenses, and increasing productivity."
Gengage,https://www.crunchbase.com/organization/gengage,"Artificial Intelligence (AI), Commercial, Digital Marketing","Menlo Park, California, United States",2025-04-01,day,800000,USD,800000,AI-Powered Product Discovery for eCommerce,"45,041",,"41,248",1,2025-04-04,800000,USD,800000,800000,USD,800000,"StartupIst VC, Koc GSYF VC",1,2,2,"Mustafa Kirac, Omer Akkentli",1-10,"Artificial Intelligence (AI), Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software",,,Active,For Profit,https://www.gengage.ai/,,,https://www.linkedin.com/company/gengage,"GenGage.ai transforms online shopping with AI that understands shopper needs and processes vast product catalogs to deliver personalized recommendations. Our platform replaces overwhelming product grids with guided shopping experiences, increasing conversion rates and cart values for retailers while making discovery intuitive for consumers."
Rebolt,https://www.crunchbase.com/organization/rebolt-5917,"Artificial Intelligence (AI), Software","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Rebolt provides AI agents that automate repetitive tasks of restaurant managers.,"45,113",,"41,318",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Celia Manzano, Javier Sanchez",11-50,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.rebolt.ai/en,https://x.com/rebolthq,,https://www.linkedin.com/company/reboltai,
Ovlo,https://www.crunchbase.com/organization/ovlo,"Artificial Intelligence (AI), SaaS, Supply Chain Management","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Ovlo is an workflow automation software for supply chain using AI agents,"46,988",,"43,067",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Amer Eid, Andrew Maalouf",1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",,,Active,For Profit,https://www.ovlo.ai/,,,https://www.linkedin.com/company/ovlo/,
Nextbyte,https://www.crunchbase.com/organization/nextbyte,"Artificial Intelligence (AI), Human Resources, Recruiting","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Nextbyte is an AI driven recruiting platform that enables companies to quickly find and assess candidates.,"48,767",,"44,739",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Jason Madeano, Matt Stallone",1-10,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://trynextbyte.com/,,,https://www.linkedin.com/company/nextbyte-ai/,
Roark,https://www.crunchbase.com/organization/roark-0f75,"Analytics, Artificial Intelligence (AI), Software","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,"Roark makes it easy to track, assess, and enhance speech AI agents over time.","49,160",,"45,112",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Daniel Gauci, James Zammit",1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://roark.ai,https://x.com/roarkanalytics,,https://www.linkedin.com/company/roark-innovations,"Roark offers real-time statistics for chat and voice engagements in AI conversations across all communication channels. Technology assists organizations in tracking consumer sentiment, measuring performance, and pinpointing areas for improvement."
Praxim,https://www.crunchbase.com/organization/praxim,"Artificial Intelligence (AI), Document Management, Software","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,"Praxim is an AI workspace platform that enables editing of DOCX and PDF files, replying to emails and texts, and answer queries.","49,419",,"45,356",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,1,Frank Li,1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://praxim.ai/,,,https://www.linkedin.com/company/praxim-yc-w25/,
Wildcard,https://www.crunchbase.com/organization/wildcard-02bd,"Artificial Intelligence (AI), Developer APIs, Information Technology, Internet","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Wildcard functions as a gateway that enables AI agents to identify and employ APIs using natural language.,"50,313",,"46,213",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Kaushik Mahorker, Yagnya Patel",1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://wild-card.ai,https://x.com/wildcard_ai,,https://www.linkedin.com/company/wild-card-ai,"Wildcard coordinates and integrates AI agent APIs. To select the right action from a range of tools, Wild Card Link tools are connected to AI agents and LLMs."
A1Base,https://www.crunchbase.com/organization/a1base,"Artificial Intelligence (AI), Developer Tools, Information and Communications Technology (ICT)","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,"A1Base functions as the communication, trust, and identity framework for AI agents, aimed at enhancing interactions with human users.","50,403",,"46,294",1,2025-03-12,500000,USD,500000,500000,USD,500000,"Y Combinator, Pioneer Fund",1,2,2,"Pasha Rayan, Pennie Huang",1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.a1base.com/,https://x.com/a1baseapi,,https://www.linkedin.com/company/a1base/,
Oki,https://www.crunchbase.com/organization/oki,"Artificial Intelligence (AI), B2B, SaaS","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Oki leverages artificial intelligence to automate the project tracking process for engineering leaders.,"51,399",,"47,223",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Aayush Tyagi, Luofei Chen",1-10,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",,,Active,For Profit,https://www.okiapplications.com/,,,https://www.linkedin.com/company/oki-ai/,
Sherpa Labs,https://www.crunchbase.com/organization/sherpa-labs-7114,"Artificial Intelligence (AI), B2B, SaaS","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Sherpa Labs creates an AI-powered ecosystem to enhance and automate the entire data science process.,"51,425",,"47,247",1,2025-03-12,500000,USD,500000,500000,USD,500000,"Y Combinator, SAV (Scale Asia Ventures)",1,2,2,"Jeffrey Chiu, Sherpa Labs",1-10,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",,,Active,For Profit,https://www.sherpalabs.ai/,,,https://www.linkedin.com/company/sherpalabs-ai/,
Sennu AI,https://www.crunchbase.com/organization/sennu-ai,"Artificial Intelligence (AI), CRM, Enterprise Resource Planning (ERP), Sales Automation, Software","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,"Sennu AI is a software deevelopment company that provides automated AI agent solutions for CRM, ERP, sales, and human collaboration.","51,595",,"47,412",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Sriman Gaddam, Sukhjit Singh",1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",,,Active,For Profit,https://www.sennu.ai/,,,https://www.linkedin.com/company/sennu-ai/,
Macadamia,https://www.crunchbase.com/organization/macadamia,"Artificial Intelligence (AI), Construction, Hardware, Industrial Automation","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Macadamia develops mechanical engineering software designed to analyze complex engineering projects.,"51,905",,"47,710",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Abel Van Steenweghen, Brecht Pierreux",1-10,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Real Estate, Science and Engineering, Software",,,Active,For Profit,http://www.macadamialabs.com/,https://x.com/macadamialabs,,https://www.linkedin.com/company/macadamialabs/,
